article_no,gender,category,price,new_size,brand
701784001,unisex,babybody,149,44,H&M
701784001,unisex,babybody,149,50,H&M
701784001,unisex,babybody,149,56,H&M
701784001,unisex,babybody,149,62,H&M
701784001,unisex,babybody,149,68,H&M
701784001,unisex,babybody,149,74,H&M
701784002,unisex,babybody,80,44,H&M
701784002,unisex,babybody,80,50,H&M
701784002,unisex,babybody,80,56,H&M
701784002,unisex,babybody,80,62,H&M
701784002,unisex,babybody,80,68,H&M
701784002,unisex,babybody,80,74,H&M
701784003,unisex,babybody,70,44,H&M
701784003,unisex,babybody,70,50,H&M
701784003,unisex,babybody,70,56,H&M
701784003,unisex,babybody,70,62,H&M
701784003,unisex,babybody,70,68,H&M
701784003,unisex,babybody,70,74,H&M
701784004,unisex,babybody,149,44,H&M
701784004,unisex,babybody,149,50,H&M
701784004,unisex,babybody,149,56,H&M
701784004,unisex,babybody,149,62,H&M
701784004,unisex,babybody,149,68,H&M
701784004,unisex,babybody,149,74,H&M
701784005,unisex,babybody,80,44,H&M
701784005,unisex,babybody,80,50,H&M
701784005,unisex,babybody,80,56,H&M
701784005,unisex,babybody,80,62,H&M
701784005,unisex,babybody,80,68,H&M
701784005,unisex,babybody,80,74,H&M
701784007,unisex,babybody,99,44,H&M
701784007,unisex,babybody,99,50,H&M
701784007,unisex,babybody,99,56,H&M
701784007,unisex,babybody,99,62,H&M
701784007,unisex,babybody,99,68,H&M
701784007,unisex,babybody,99,74,H&M
701784008,unisex,babybody,99,44,H&M
701784008,unisex,babybody,99,50,H&M
701784008,unisex,babybody,99,56,H&M
701784008,unisex,babybody,99,62,H&M
701784008,unisex,babybody,99,68,H&M
701784008,unisex,babybody,99,74,H&M
701784010,unisex,babybody,80,44,H&M
701784010,unisex,babybody,80,50,H&M
701784010,unisex,babybody,80,56,H&M
701784010,unisex,babybody,80,62,H&M
701784010,unisex,babybody,80,68,H&M
701784010,unisex,babybody,80,74,H&M
701784012,unisex,babybody,99,44,H&M
701784012,unisex,babybody,99,50,H&M
701784012,unisex,babybody,99,56,H&M
701784012,unisex,babybody,99,62,H&M
701784012,unisex,babybody,99,68,H&M
701784012,unisex,babybody,99,74,H&M
750476001,unisex,babybody,99,44,H&M
750476001,unisex,babybody,99,50,H&M
750476001,unisex,babybody,99,56,H&M
750476001,unisex,babybody,99,62,H&M
750476001,unisex,babybody,99,68,H&M
750476001,unisex,babybody,99,74,H&M
750476002,unisex,babybody,99,44,H&M
750476002,unisex,babybody,99,50,H&M
750476002,unisex,babybody,99,56,H&M
750476002,unisex,babybody,99,62,H&M
750476002,unisex,babybody,99,68,H&M
750476002,unisex,babybody,99,74,H&M
750476003,unisex,babybody,99,44,H&M
750476003,unisex,babybody,99,50,H&M
750476003,unisex,babybody,99,56,H&M
750476003,unisex,babybody,99,62,H&M
750476003,unisex,babybody,99,68,H&M
750476003,unisex,babybody,99,74,H&M
750476012,unisex,babybody,99,44,H&M
750476012,unisex,babybody,99,50,H&M
750476012,unisex,babybody,99,56,H&M
750476012,unisex,babybody,99,62,H&M
750476012,unisex,babybody,99,68,H&M
750476012,unisex,babybody,99,74,H&M
754108001,unisex,babybody,99,44,H&M
754108001,unisex,babybody,99,50,H&M
754108001,unisex,babybody,99,56,H&M
754108001,unisex,babybody,99,62,H&M
754108001,unisex,babybody,99,68,H&M
754108001,unisex,babybody,99,74,H&M
754108002,unisex,babybody,99,44,H&M
754108002,unisex,babybody,99,50,H&M
754108002,unisex,babybody,99,56,H&M
754108002,unisex,babybody,99,62,H&M
754108002,unisex,babybody,99,68,H&M
754108002,unisex,babybody,99,74,H&M
760894001,unisex,babybody,179,44,H&M
760894001,unisex,babybody,179,50,H&M
760894001,unisex,babybody,179,56,H&M
760894001,unisex,babybody,179,62,H&M
760894001,unisex,babybody,179,68,H&M
760894001,unisex,babybody,179,74,H&M
525563002,unisex,babybody,50,44,H&M
525563002,unisex,babybody,50,50,H&M
525563002,unisex,babybody,50,56,H&M
525563002,unisex,babybody,50,62,H&M
525563002,unisex,babybody,50,68,H&M
525563002,unisex,babybody,50,74,H&M
525563003,unisex,babybody,50,44,H&M
525563003,unisex,babybody,50,50,H&M
525563003,unisex,babybody,50,56,H&M
525563003,unisex,babybody,50,62,H&M
525563003,unisex,babybody,50,68,H&M
525563003,unisex,babybody,50,74,H&M
525563005,unisex,babybody,30,44,H&M
525563005,unisex,babybody,30,50,H&M
525563005,unisex,babybody,30,56,H&M
525563005,unisex,babybody,30,62,H&M
525563005,unisex,babybody,30,68,H&M
525563005,unisex,babybody,30,74,H&M
525563007,unisex,babybody,50,44,H&M
525563007,unisex,babybody,50,50,H&M
525563007,unisex,babybody,50,56,H&M
525563007,unisex,babybody,50,62,H&M
525563007,unisex,babybody,50,68,H&M
525563007,unisex,babybody,50,74,H&M
525563010,unisex,babybody,40,44,H&M
525563010,unisex,babybody,40,50,H&M
525563010,unisex,babybody,40,56,H&M
525563010,unisex,babybody,40,62,H&M
525563010,unisex,babybody,40,68,H&M
525563010,unisex,babybody,40,74,H&M
525563011,unisex,babybody,50,44,H&M
525563011,unisex,babybody,50,50,H&M
525563011,unisex,babybody,50,56,H&M
525563011,unisex,babybody,50,62,H&M
525563011,unisex,babybody,50,68,H&M
525563011,unisex,babybody,50,74,H&M
525563012,unisex,babybody,15,44,H&M
525563012,unisex,babybody,15,50,H&M
525563012,unisex,babybody,15,56,H&M
525563012,unisex,babybody,15,62,H&M
525563012,unisex,babybody,15,68,H&M
525563012,unisex,babybody,15,74,H&M
525563013,unisex,babybody,40,44,H&M
525563013,unisex,babybody,40,50,H&M
