article_no,gender,category,price,new_size,brand
1896392,unisex,accessoarer,149,54,Didriksons
1896392,unisex,accessoarer,149,56,Didriksons
1896385,unisex,accessoarer,149,52,Didriksons
1896385,unisex,accessoarer,149,54,Didriksons
1896385,unisex,accessoarer,149,56,Didriksons
1590133,unisex,accessoarer,179,52,Didriksons
779295,unisex,accessoarer,199,XXS,Geggamoja
779249,unisex,accessoarer,199,XXS,Geggamoja
779249,unisex,accessoarer,199,S,Geggamoja
779186,unisex,accessoarer,199,XXS,Geggamoja
779310,unisex,accessoarer,199,XXS,Geggamoja
779310,unisex,accessoarer,199,S,Geggamoja
1590125,unisex,accessoarer,179,52,Didriksons
1590141,unisex,accessoarer,179,48,Didriksons
1590141,unisex,accessoarer,179,52,Didriksons
1590001,unisex,accessoarer,299,54,Didriksons
1589995,unisex,accessoarer,299,54,Didriksons
779519,unisex,accessoarer,199,XXS,Geggamoja
1253126,unisex,bodies,249,62,Färg&Form
1253126,unisex,bodies,249,68,Färg&Form
1253126,unisex,bodies,249,74,Färg&Form
1253126,unisex,bodies,249,80,Färg&Form
1253126,unisex,bodies,249,86,Färg&Form
1253126,unisex,bodies,249,92,Färg&Form
1253120,unisex,bodies,249,62,Färg&Form
1253120,unisex,bodies,249,74,Färg&Form
1253120,unisex,bodies,249,86,Färg&Form
1253120,unisex,bodies,249,92,Färg&Form
1794540,unisex,bodies,249,56,ebbe Kids
1794540,unisex,bodies,249,62,ebbe Kids
1794540,unisex,bodies,249,68,ebbe Kids
1794540,unisex,bodies,249,74,ebbe Kids
1794540,unisex,bodies,249,80,ebbe Kids
1794540,unisex,bodies,249,86,ebbe Kids
1253123,unisex,bodies,249,68,Färg&Form
1253123,unisex,bodies,249,74,Färg&Form
1253123,unisex,bodies,249,80,Färg&Form
1253123,unisex,bodies,249,86,Färg&Form
1253123,unisex,bodies,249,92,Färg&Form
1153376,unisex,bodies,190,86,Arket
1030512,unisex,bodies,249,70,moodie
1030512,unisex,bodies,249,80,moodie
1030512,unisex,bodies,249,90,moodie
1153383,unisex,bodies,190,80,Arket
1153383,unisex,bodies,190,92,Arket
897657,unisex,bodies,179,68,ebbe Kids
897657,unisex,bodies,179,74,ebbe Kids
897657,unisex,bodies,179,80,ebbe Kids
1253140,unisex,bodies,249,50,Färg&Form
1253140,unisex,bodies,249,56,Färg&Form
1253140,unisex,bodies,249,62,Färg&Form
1253140,unisex,bodies,249,68,Färg&Form
1253140,unisex,bodies,249,74,Färg&Form
1253140,unisex,bodies,249,80,Färg&Form
1253140,unisex,bodies,249,86,Färg&Form
1253140,unisex,bodies,249,92,Färg&Form
1794640,unisex,bodies,299,56,ebbe Kids
1794640,unisex,bodies,299,62,ebbe Kids
1794640,unisex,bodies,299,68,ebbe Kids
1794640,unisex,bodies,299,74,ebbe Kids
1794640,unisex,bodies,299,80,ebbe Kids
1794640,unisex,bodies,299,86,ebbe Kids
1794631,unisex,bodies,299,56,ebbe Kids
1794631,unisex,bodies,299,62,ebbe Kids
1794631,unisex,bodies,299,68,ebbe Kids
1794631,unisex,bodies,299,74,ebbe Kids
1794631,unisex,bodies,299,80,ebbe Kids
1794631,unisex,bodies,299,86,ebbe Kids
