article_no,gender,category,price,new_size,brand
460256_476,boy,overdelar/s/629,800,3Y,Lacoste
460256_476,boy,overdelar/s/629,800,4Y,Lacoste
460256_476,boy,overdelar/s/629,800,5Y,Lacoste
460256_476,boy,overdelar/s/629,800,6Y,Lacoste
460256_476,boy,overdelar/s/629,900,8Y,Lacoste
460256_476,boy,overdelar/s/629,900,10Y,Lacoste
460256_476,boy,overdelar/s/629,900,12Y,Lacoste
460256_476,boy,overdelar/s/629,900,14Y,Lacoste
460256_476,boy,overdelar/s/629,900,16Y,Lacoste
496045_773,boy,overdelar/s/629,1105,4Y,Moncler
496045_773,boy,overdelar/s/629,1105,5Y,Moncler
496045_773,boy,overdelar/s/629,1105,6Y,Moncler
496045_773,boy,overdelar/s/629,1209,8Y,Moncler
496045_773,boy,overdelar/s/629,1209,10Y,Moncler
496045_773,boy,overdelar/s/629,1315,12Y,Moncler
496045_773,boy,overdelar/s/629,1315,14Y,Moncler
496044_999,boy,overdelar/s/629,895,4Y,Moncler
496044_999,boy,overdelar/s/629,895,5Y,Moncler
496044_999,boy,overdelar/s/629,895,6Y,Moncler
496044_999,boy,overdelar/s/629,999,8Y,Moncler
496044_999,boy,overdelar/s/629,999,10Y,Moncler
496044_999,boy,overdelar/s/629,1105,12Y,Moncler
496044_999,boy,overdelar/s/629,1105,14Y,Moncler
496043_987,boy,overdelar/s/629,895,4Y,Moncler
496043_987,boy,overdelar/s/629,895,5Y,Moncler
496043_987,boy,overdelar/s/629,895,6Y,Moncler
496043_987,boy,overdelar/s/629,999,8Y,Moncler
496043_987,boy,overdelar/s/629,999,10Y,Moncler
496043_987,boy,overdelar/s/629,1105,12Y,Moncler
496043_987,boy,overdelar/s/629,1105,14Y,Moncler
460279_001,boy,overdelar/s/629,650,4Y,Lacoste
460279_001,boy,overdelar/s/629,650,5Y,Lacoste
460279_001,boy,overdelar/s/629,650,6Y,Lacoste
460279_001,boy,overdelar/s/629,700,8Y,Lacoste
460279_001,boy,overdelar/s/629,700,10Y,Lacoste
460279_001,boy,overdelar/s/629,700,12Y,Lacoste
460279_001,boy,overdelar/s/629,700,14Y,Lacoste
460279_001,boy,overdelar/s/629,700,16Y,Lacoste
460278_T01,boy,overdelar/s/629,650,4Y,Lacoste
460278_T01,boy,overdelar/s/629,650,5Y,Lacoste
460278_T01,boy,overdelar/s/629,650,6Y,Lacoste
460278_T01,boy,overdelar/s/629,700,8Y,Lacoste
460278_T01,boy,overdelar/s/629,700,10Y,Lacoste
460278_T01,boy,overdelar/s/629,700,12Y,Lacoste
460278_T01,boy,overdelar/s/629,700,14Y,Lacoste
460278_T01,boy,overdelar/s/629,700,16Y,Lacoste
460260_X0U,boy,overdelar/s/629,550,2Y,Lacoste
460260_X0U,boy,overdelar/s/629,550,3Y,Lacoste
460260_X0U,boy,overdelar/s/629,550,4Y,Lacoste
460260_X0U,boy,overdelar/s/629,550,5Y,Lacoste
460260_X0U,boy,overdelar/s/629,550,6Y,Lacoste
460260_X0U,boy,overdelar/s/629,650,8Y,Lacoste
460260_X0U,boy,overdelar/s/629,650,10Y,Lacoste
460260_X0U,boy,overdelar/s/629,650,12Y,Lacoste
460260_X0U,boy,overdelar/s/629,650,14Y,Lacoste
460260_X0U,boy,overdelar/s/629,650,16Y,Lacoste
480168_10,boy,overdelar/s/629,745,3Y,Absorba
480168_10,boy,overdelar/s/629,690,6M,Absorba
480168_10,boy,overdelar/s/629,690,9M,Absorba
480168_10,boy,overdelar/s/629,690,12M,Absorba
480168_10,boy,overdelar/s/629,690,18M,Absorba
480168_10,boy,overdelar/s/629,745,24M,Absorba
452972_CBK,boy,overdelar/s/629,365,92,Tommy Hilfiger
452972_CBK,boy,overdelar/s/629,365,3Y,Tommy Hilfiger
452972_CBK,boy,overdelar/s/629,365,4Y,Tommy Hilfiger
452972_CBK,boy,overdelar/s/629,365,5Y,Tommy Hilfiger
452972_CBK,boy,overdelar/s/629,365,6Y,Tommy Hilfiger
452972_CBK,boy,overdelar/s/629,365,7Y,Tommy Hilfiger
452972_CBK,boy,overdelar/s/629,439,8Y,Tommy Hilfiger
452975_XA9,boy,overdelar/s/629,365,92,Tommy Hilfiger
452975_XA9,boy,overdelar/s/629,365,3Y,Tommy Hilfiger
452975_XA9,boy,overdelar/s/629,365,4Y,Tommy Hilfiger
452975_XA9,boy,overdelar/s/629,365,5Y,Tommy Hilfiger
452975_XA9,boy,overdelar/s/629,365,6Y,Tommy Hilfiger
452975_XA9,boy,overdelar/s/629,365,7Y,Tommy Hilfiger
452975_XA9,boy,overdelar/s/629,439,8Y,Tommy Hilfiger
452976_CH5,boy,overdelar/s/629,325,92,Tommy Hilfiger
452976_CH5,boy,overdelar/s/629,325,3Y,Tommy Hilfiger
452976_CH5,boy,overdelar/s/629,325,4Y,Tommy Hilfiger
452976_CH5,boy,overdelar/s/629,325,5Y,Tommy Hilfiger
452976_CH5,boy,overdelar/s/629,325,6Y,Tommy Hilfiger
452976_CH5,boy,overdelar/s/629,325,7Y,Tommy Hilfiger
452976_CH5,boy,overdelar/s/629,395,8Y,Tommy Hilfiger
480163_73,boy,overdelar/s/629,240,3Y,Absorba
480163_73,boy,overdelar/s/629,210,6M,Absorba
480163_73,boy,overdelar/s/629,210,9M,Absorba
480163_73,boy,overdelar/s/629,210,12M,Absorba
480163_73,boy,overdelar/s/629,210,18M,Absorba
480163_73,boy,overdelar/s/629,240,24M,Absorba
464211_YA79B,boy,overdelar/s/629,1209,4Y,Versace
464211_YA79B,boy,overdelar/s/629,1209,5Y,Versace
464211_YA79B,boy,overdelar/s/629,1209,6Y,Versace
464211_YA79B,boy,overdelar/s/629,1315,8Y,Versace
464211_YA79B,boy,overdelar/s/629,1315,10Y,Versace
464211_YA79B,boy,overdelar/s/629,1315,12Y,Versace
464211_YA79B,boy,overdelar/s/629,1315,14Y,Versace
464406_A07,boy,overdelar/s/629,595,4Y,BOSS
464406_A07,boy,overdelar/s/629,595,5Y,BOSS
464406_A07,boy,overdelar/s/629,665,6Y,BOSS
464406_A07,boy,overdelar/s/629,665,8Y,BOSS
464406_A07,boy,overdelar/s/629,665,10Y,BOSS
464406_A07,boy,overdelar/s/629,665,12Y,BOSS
464406_A07,boy,overdelar/s/629,715,14Y,BOSS
464406_A07,boy,overdelar/s/629,715,16Y,BOSS
467140_85T,boy,overdelar/s/629,365,6M,Timberland
467140_85T,boy,overdelar/s/629,365,9M,Timberland
467140_85T,boy,overdelar/s/629,365,12M,Timberland
467140_85T,boy,overdelar/s/629,365,18M,Timberland
467140_85T,boy,overdelar/s/629,435,2Y,Timberland
467140_85T,boy,overdelar/s/629,435,3Y,Timberland
467140_85T,boy,overdelar/s/629,435,4Y,Timberland
467089_A32,boy,overdelar/s/629,435,2Y,Timberland
467089_A32,boy,overdelar/s/629,435,3Y,Timberland
467089_A32,boy,overdelar/s/629,435,4Y,Timberland
467089_A32,boy,overdelar/s/629,435,5Y,Timberland
467089_A32,boy,overdelar/s/629,490,6Y,Timberland
467089_A32,boy,overdelar/s/629,490,8Y,Timberland
467089_A32,boy,overdelar/s/629,490,10Y,Timberland
467089_A32,boy,overdelar/s/629,490,12Y,Timberland
467089_A32,boy,overdelar/s/629,560,14Y,Timberland
467089_A32,boy,overdelar/s/629,560,16Y,Timberland
467085_N79,boy,overdelar/s/629,435,2Y,Timberland
467085_N79,boy,overdelar/s/629,435,3Y,Timberland
467085_N79,boy,overdelar/s/629,435,4Y,Timberland
467085_N79,boy,overdelar/s/629,435,5Y,Timberland
467085_N79,boy,overdelar/s/629,490,6Y,Timberland
467085_N79,boy,overdelar/s/629,490,8Y,Timberland
467085_N79,boy,overdelar/s/629,490,10Y,Timberland
467085_N79,boy,overdelar/s/629,490,12Y,Timberland
467085_N79,boy,overdelar/s/629,490,14Y,Timberland
467085_N79,boy,overdelar/s/629,490,16Y,Timberland
467141_Z26,boy,overdelar/s/629,685,12M,Timberland
467141_Z26,boy,overdelar/s/629,685,18M,Timberland
467141_Z26,boy,overdelar/s/629,735,2Y,Timberland
467141_Z26,boy,overdelar/s/629,735,3Y,Timberland
467141_Z26,boy,overdelar/s/629,735,4Y,Timberland
464388_09B,boy,overdelar/s/629,550,4Y,BOSS
464388_09B,boy,overdelar/s/629,550,5Y,BOSS
464388_09B,boy,overdelar/s/629,595,6Y,BOSS
464388_09B,boy,overdelar/s/629,595,8Y,BOSS
464388_09B,boy,overdelar/s/629,595,10Y,BOSS
464388_09B,boy,overdelar/s/629,595,12Y,BOSS
464388_09B,boy,overdelar/s/629,665,14Y,BOSS
464388_09B,boy,overdelar/s/629,665,16Y,BOSS
464386_869,boy,overdelar/s/629,425,4Y,BOSS
464386_869,boy,overdelar/s/629,425,5Y,BOSS
464386_869,boy,overdelar/s/629,475,6Y,BOSS
464386_869,boy,overdelar/s/629,475,8Y,BOSS
464386_869,boy,overdelar/s/629,475,10Y,BOSS
464386_869,boy,overdelar/s/629,475,12Y,BOSS
464386_869,boy,overdelar/s/629,550,14Y,BOSS
464386_869,boy,overdelar/s/629,550,16Y,BOSS
464385_09B,boy,overdelar/s/629,425,4Y,BOSS
464385_09B,boy,overdelar/s/629,425,5Y,BOSS
464385_09B,boy,overdelar/s/629,475,6Y,BOSS
464385_09B,boy,overdelar/s/629,475,8Y,BOSS
464385_09B,boy,overdelar/s/629,475,10Y,BOSS
464385_09B,boy,overdelar/s/629,475,12Y,BOSS
464385_09B,boy,overdelar/s/629,550,14Y,BOSS
464385_09B,boy,overdelar/s/629,550,16Y,BOSS
464401_849,boy,overdelar/s/629,715,4Y,BOSS
464401_849,boy,overdelar/s/629,715,5Y,BOSS
464401_849,boy,overdelar/s/629,790,6Y,BOSS
464401_849,boy,overdelar/s/629,790,8Y,BOSS
464401_849,boy,overdelar/s/629,790,10Y,BOSS
464401_849,boy,overdelar/s/629,790,12Y,BOSS
464401_849,boy,overdelar/s/629,835,14Y,BOSS
464401_849,boy,overdelar/s/629,835,16Y,BOSS
464398_869,boy,overdelar/s/629,550,4Y,BOSS
464398_869,boy,overdelar/s/629,550,5Y,BOSS
464398_869,boy,overdelar/s/629,595,6Y,BOSS
464398_869,boy,overdelar/s/629,595,8Y,BOSS
464398_869,boy,overdelar/s/629,595,10Y,BOSS
464398_869,boy,overdelar/s/629,595,12Y,BOSS
464398_869,boy,overdelar/s/629,665,14Y,BOSS
464398_869,boy,overdelar/s/629,665,16Y,BOSS
464397_A07,boy,overdelar/s/629,550,4Y,BOSS
464397_A07,boy,overdelar/s/629,550,5Y,BOSS
464397_A07,boy,overdelar/s/629,595,6Y,BOSS
464397_A07,boy,overdelar/s/629,595,8Y,BOSS
464397_A07,boy,overdelar/s/629,595,10Y,BOSS
464397_A07,boy,overdelar/s/629,595,12Y,BOSS
464397_A07,boy,overdelar/s/629,665,14Y,BOSS
464397_A07,boy,overdelar/s/629,665,16Y,BOSS
464390_A33,boy,overdelar/s/629,475,4Y,BOSS
464390_A33,boy,overdelar/s/629,475,5Y,BOSS
464390_A33,boy,overdelar/s/629,550,6Y,BOSS
464390_A33,boy,overdelar/s/629,550,8Y,BOSS
464390_A33,boy,overdelar/s/629,550,10Y,BOSS
464390_A33,boy,overdelar/s/629,550,12Y,BOSS
464390_A33,boy,overdelar/s/629,595,14Y,BOSS
464390_A33,boy,overdelar/s/629,595,16Y,BOSS
464391_09B,boy,overdelar/s/629,475,4Y,BOSS
464391_09B,boy,overdelar/s/629,475,5Y,BOSS
464391_09B,boy,overdelar/s/629,550,6Y,BOSS
464391_09B,boy,overdelar/s/629,550,8Y,BOSS
464391_09B,boy,overdelar/s/629,550,10Y,BOSS
464391_09B,boy,overdelar/s/629,550,12Y,BOSS
464391_09B,boy,overdelar/s/629,595,14Y,BOSS
464391_09B,boy,overdelar/s/629,595,16Y,BOSS
464461_A33,boy,overdelar/s/629,425,6M,BOSS
464461_A33,boy,overdelar/s/629,425,9M,BOSS
464461_A33,boy,overdelar/s/629,425,12M,BOSS
464461_A33,boy,overdelar/s/629,425,18M,BOSS
464461_A33,boy,overdelar/s/629,475,2Y,BOSS
464461_A33,boy,overdelar/s/629,475,3Y,BOSS
464462_10B,boy,overdelar/s/629,425,6M,BOSS
464462_10B,boy,overdelar/s/629,425,9M,BOSS
464462_10B,boy,overdelar/s/629,425,12M,BOSS
464462_10B,boy,overdelar/s/629,425,18M,BOSS
464462_10B,boy,overdelar/s/629,475,2Y,BOSS
464462_10B,boy,overdelar/s/629,475,3Y,BOSS
464470_869,boy,overdelar/s/629,790,9M,BOSS
464470_869,boy,overdelar/s/629,790,12M,BOSS
464470_869,boy,overdelar/s/629,790,18M,BOSS
464470_869,boy,overdelar/s/629,835,2Y,BOSS
464470_869,boy,overdelar/s/629,835,3Y,BOSS
464465_09B,boy,overdelar/s/629,475,6M,BOSS
464465_09B,boy,overdelar/s/629,475,9M,BOSS
464465_09B,boy,overdelar/s/629,475,12M,BOSS
464465_09B,boy,overdelar/s/629,475,18M,BOSS
464465_09B,boy,overdelar/s/629,550,2Y,BOSS
464465_09B,boy,overdelar/s/629,550,3Y,BOSS
490637_02,boy,overdelar/s/629,560,10Y,Paul Smith Junior
490637_02,boy,overdelar/s/629,560,12Y,Paul Smith Junior
490637_02,boy,overdelar/s/629,507,2Y,Paul Smith Junior
490637_02,boy,overdelar/s/629,507,3Y,Paul Smith Junior
490637_02,boy,overdelar/s/629,507,4Y,Paul Smith Junior
490637_02,boy,overdelar/s/629,507,5Y,Paul Smith Junior
490637_02,boy,overdelar/s/629,507,6Y,Paul Smith Junior
490637_02,boy,overdelar/s/629,560,8Y,Paul Smith Junior
490633_240,boy,overdelar/s/629,613,10Y,Paul Smith Junior
490633_240,boy,overdelar/s/629,613,12Y,Paul Smith Junior
490633_240,boy,overdelar/s/629,560,2Y,Paul Smith Junior
490633_240,boy,overdelar/s/629,560,3Y,Paul Smith Junior
490633_240,boy,overdelar/s/629,560,4Y,Paul Smith Junior
490633_240,boy,overdelar/s/629,560,5Y,Paul Smith Junior
490633_240,boy,overdelar/s/629,560,6Y,Paul Smith Junior
490633_240,boy,overdelar/s/629,613,8Y,Paul Smith Junior
490638_240,boy,overdelar/s/629,560,10Y,Paul Smith Junior
490638_240,boy,overdelar/s/629,560,12Y,Paul Smith Junior
490638_240,boy,overdelar/s/629,507,2Y,Paul Smith Junior
490638_240,boy,overdelar/s/629,507,3Y,Paul Smith Junior
490638_240,boy,overdelar/s/629,507,4Y,Paul Smith Junior
490638_240,boy,overdelar/s/629,507,5Y,Paul Smith Junior
490638_240,boy,overdelar/s/629,507,6Y,Paul Smith Junior
490638_240,boy,overdelar/s/629,560,8Y,Paul Smith Junior
464624_117,boy,overdelar/s/629,435,2Y,Little Marc Jacobs
464624_117,boy,overdelar/s/629,435,3Y,Little Marc Jacobs
464624_117,boy,overdelar/s/629,435,4Y,Little Marc Jacobs
464624_117,boy,overdelar/s/629,435,5Y,Little Marc Jacobs
464624_117,boy,overdelar/s/629,490,6Y,Little Marc Jacobs
464624_117,boy,overdelar/s/629,490,8Y,Little Marc Jacobs
464624_117,boy,overdelar/s/629,490,10Y,Little Marc Jacobs
464624_117,boy,overdelar/s/629,490,12Y,Little Marc Jacobs
464624_117,boy,overdelar/s/629,560,12Y,Little Marc Jacobs
464620_991,boy,overdelar/s/629,490,2Y,Little Marc Jacobs
464620_991,boy,overdelar/s/629,490,3Y,Little Marc Jacobs
464620_991,boy,overdelar/s/629,490,4Y,Little Marc Jacobs
464620_991,boy,overdelar/s/629,490,5Y,Little Marc Jacobs
464620_991,boy,overdelar/s/629,560,6Y,Little Marc Jacobs
464620_991,boy,overdelar/s/629,560,8Y,Little Marc Jacobs
464620_991,boy,overdelar/s/629,560,10Y,Little Marc Jacobs
464620_991,boy,overdelar/s/629,560,12Y,Little Marc Jacobs
464618_117,boy,overdelar/s/629,435,2Y,Little Marc Jacobs
464618_117,boy,overdelar/s/629,435,3Y,Little Marc Jacobs
464618_117,boy,overdelar/s/629,435,4Y,Little Marc Jacobs
464618_117,boy,overdelar/s/629,435,5Y,Little Marc Jacobs
464618_117,boy,overdelar/s/629,490,6Y,Little Marc Jacobs
464618_117,boy,overdelar/s/629,490,8Y,Little Marc Jacobs
464618_117,boy,overdelar/s/629,490,10Y,Little Marc Jacobs
464618_117,boy,overdelar/s/629,490,12Y,Little Marc Jacobs
480699_10,boy,overdelar/s/629,1060,2Y,Kenzo
480699_10,boy,overdelar/s/629,1060,3Y,Kenzo
480699_10,boy,overdelar/s/629,1060,4Y,Kenzo
480699_10,boy,overdelar/s/629,1060,5Y,Kenzo
480699_10,boy,overdelar/s/629,1060,6Y,Kenzo
480699_10,boy,overdelar/s/629,1185,10Y,Kenzo
480699_10,boy,overdelar/s/629,1185,12Y,Kenzo
480699_10,boy,overdelar/s/629,1335,14Y,Kenzo
480746_10,boy,overdelar/s/629,505,6M,Kenzo
480746_10,boy,overdelar/s/629,505,9M,Kenzo
480746_10,boy,overdelar/s/629,505,12M,Kenzo
480746_10,boy,overdelar/s/629,505,18M,Kenzo
480746_10,boy,overdelar/s/629,555,2Y,Kenzo
480746_10,boy,overdelar/s/629,555,3Y,Kenzo
480746_10,boy,overdelar/s/629,555,4Y,Kenzo
480745_10,boy,overdelar/s/629,505,6M,Kenzo
480745_10,boy,overdelar/s/629,505,9M,Kenzo
480745_10,boy,overdelar/s/629,505,12M,Kenzo
480745_10,boy,overdelar/s/629,505,18M,Kenzo
480745_10,boy,overdelar/s/629,555,2Y,Kenzo
480745_10,boy,overdelar/s/629,555,3Y,Kenzo
480745_10,boy,overdelar/s/629,555,4Y,Kenzo
480695_25,boy,overdelar/s/629,860,2Y,Kenzo
480695_25,boy,overdelar/s/629,860,3Y,Kenzo
480695_25,boy,overdelar/s/629,860,4Y,Kenzo
480695_25,boy,overdelar/s/629,860,6Y,Kenzo
480695_25,boy,overdelar/s/629,960,10Y,Kenzo
480695_25,boy,overdelar/s/629,960,12Y,Kenzo
480695_25,boy,overdelar/s/629,1060,14Y,Kenzo
480694_37,boy,overdelar/s/629,555,2Y,Kenzo
480694_37,boy,overdelar/s/629,555,3Y,Kenzo
480694_37,boy,overdelar/s/629,555,4Y,Kenzo
480694_37,boy,overdelar/s/629,555,5Y,Kenzo
480694_37,boy,overdelar/s/629,555,6Y,Kenzo
480694_37,boy,overdelar/s/629,605,8Y,Kenzo
480694_37,boy,overdelar/s/629,605,10Y,Kenzo
480694_37,boy,overdelar/s/629,605,12Y,Kenzo
480694_37,boy,overdelar/s/629,755,14Y,Kenzo
480692_10,boy,overdelar/s/629,605,2Y,Kenzo
480692_10,boy,overdelar/s/629,605,3Y,Kenzo
480692_10,boy,overdelar/s/629,605,4Y,Kenzo
480692_10,boy,overdelar/s/629,605,5Y,Kenzo
480692_10,boy,overdelar/s/629,605,6Y,Kenzo
480692_10,boy,overdelar/s/629,655,8Y,Kenzo
480692_10,boy,overdelar/s/629,655,10Y,Kenzo
480692_10,boy,overdelar/s/629,655,12Y,Kenzo
480692_10,boy,overdelar/s/629,705,14Y,Kenzo
480690_25,boy,overdelar/s/629,555,2Y,Kenzo
480690_25,boy,overdelar/s/629,555,3Y,Kenzo
480690_25,boy,overdelar/s/629,555,4Y,Kenzo
480690_25,boy,overdelar/s/629,555,5Y,Kenzo
480690_25,boy,overdelar/s/629,555,6Y,Kenzo
480690_25,boy,overdelar/s/629,605,8Y,Kenzo
480690_25,boy,overdelar/s/629,605,10Y,Kenzo
480690_25,boy,overdelar/s/629,605,12Y,Kenzo
480690_25,boy,overdelar/s/629,655,14Y,Kenzo
480687_10,boy,overdelar/s/629,555,2Y,Kenzo
