article_no,gender,category,price,new_size,brand
90352981,girl,Dresses,79,134,bpc bonprix collection
90352981,girl,Dresses,79,146,bpc bonprix collection
90352981,girl,Dresses,79,158,bpc bonprix collection
90352981,girl,Dresses,79,170,bpc bonprix collection
91268281,girl,Dresses,59,122,bpc bonprix collection
91268281,girl,Dresses,59,134,bpc bonprix collection
91268281,girl,Dresses,59,146,bpc bonprix collection
91268281,girl,Dresses,59,158,bpc bonprix collection
91268281,girl,Dresses,59,170,bpc bonprix collection
91268281,girl,Dresses,59,182,bpc bonprix collection
91068581,girl,Dresses,139,128,bpc bonprix collection
91068581,girl,Dresses,139,134,bpc bonprix collection
91068581,girl,Dresses,139,140,bpc bonprix collection
91068581,girl,Dresses,139,146,bpc bonprix collection
91068581,girl,Dresses,139,152,bpc bonprix collection
91068581,girl,Dresses,139,158,bpc bonprix collection
91068581,girl,Dresses,139,164,bpc bonprix collection
91068581,girl,Dresses,139,170,bpc bonprix collection
97828381,girl,Dresses,79,134,bpc bonprix collection
97828381,girl,Dresses,79,146,bpc bonprix collection
97828381,girl,Dresses,79,158,bpc bonprix collection
97828381,girl,Dresses,79,170,bpc bonprix collection
95317495,girl,Dresses,129,134,bpc bonprix collection
95317495,girl,Dresses,129,146,bpc bonprix collection
95317495,girl,Dresses,129,158,bpc bonprix collection
95317495,girl,Dresses,129,170,bpc bonprix collection
95317495,girl,Dresses,129,182,bpc bonprix collection
97386495,girl,Dresses,199,128,bpc bonprix collection
97386495,girl,Dresses,199,134,bpc bonprix collection
97386495,girl,Dresses,199,140,bpc bonprix collection
97386495,girl,Dresses,199,146,bpc bonprix collection
97386495,girl,Dresses,199,152,bpc bonprix collection
97386495,girl,Dresses,199,158,bpc bonprix collection
97386495,girl,Dresses,199,164,bpc bonprix collection
97386495,girl,Dresses,199,170,bpc bonprix collection
97386495,girl,Dresses,199,176,bpc bonprix collection
95331395,girl,Dresses,149,134,bpc bonprix collection
95331395,girl,Dresses,149,146,bpc bonprix collection
95331395,girl,Dresses,149,158,bpc bonprix collection
95331395,girl,Dresses,149,170,bpc bonprix collection
95331395,girl,Dresses,149,182,bpc bonprix collection
92348695,girl,Dresses,129,110,bpc bonprix collection
92348695,girl,Dresses,129,122,bpc bonprix collection
92348695,girl,Dresses,129,134,bpc bonprix collection
92348695,girl,Dresses,129,146,bpc bonprix collection
92348695,girl,Dresses,129,158,bpc bonprix collection
92348695,girl,Dresses,129,170,bpc bonprix collection
91233181,girl,Dresses,89,134,bpc bonprix collection
91233181,girl,Dresses,89,146,bpc bonprix collection
91233181,girl,Dresses,89,158,bpc bonprix collection
91233181,girl,Dresses,89,170,bpc bonprix collection
92501195,girl,Dresses,149,122,bpc bonprix collection
92501195,girl,Dresses,149,134,bpc bonprix collection
92501195,girl,Dresses,149,146,bpc bonprix collection
92501195,girl,Dresses,149,158,bpc bonprix collection
92501195,girl,Dresses,149,170,bpc bonprix collection
92501195,girl,Dresses,149,182,bpc bonprix collection
90717595,girl,Dresses,159,134,bpc bonprix collection
90717595,girl,Dresses,159,146,bpc bonprix collection
90717595,girl,Dresses,159,158,bpc bonprix collection
90717595,girl,Dresses,159,170,bpc bonprix collection
90717595,girl,Dresses,159,182,bpc bonprix collection
97261795,girl,Dresses,149,134,bpc bonprix collection
97261795,girl,Dresses,149,146,bpc bonprix collection
97261795,girl,Dresses,149,158,bpc bonprix collection
97261795,girl,Dresses,149,170,bpc bonprix collection
97261795,girl,Dresses,149,182,bpc bonprix collection
94352495,girl,Dresses,169,122,bpc bonprix collection
94352495,girl,Dresses,169,134,bpc bonprix collection
94352495,girl,Dresses,169,146,bpc bonprix collection
94352495,girl,Dresses,169,158,bpc bonprix collection
94352495,girl,Dresses,169,170,bpc bonprix collection
96889695,girl,Dresses,279,128,bpc bonprix collection
96889695,girl,Dresses,279,134,bpc bonprix collection
96889695,girl,Dresses,279,140,bpc bonprix collection
96889695,girl,Dresses,279,146,bpc bonprix collection
96889695,girl,Dresses,279,152,bpc bonprix collection
96889695,girl,Dresses,279,158,bpc bonprix collection
96889695,girl,Dresses,279,164,bpc bonprix collection
96889695,girl,Dresses,279,170,bpc bonprix collection
91874295,girl,Dresses,129,110,bpc bonprix collection
91874295,girl,Dresses,129,122,bpc bonprix collection
91874295,girl,Dresses,129,134,bpc bonprix collection
91874295,girl,Dresses,129,146,bpc bonprix collection
91874295,girl,Dresses,129,158,bpc bonprix collection
94796295,girl,Dresses,169,116,bpc bonprix collection
94796295,girl,Dresses,169,122,bpc bonprix collection
94796295,girl,Dresses,169,128,bpc bonprix collection
94796295,girl,Dresses,169,134,bpc bonprix collection
94796295,girl,Dresses,169,140,bpc bonprix collection
94796295,girl,Dresses,169,146,bpc bonprix collection
94796295,girl,Dresses,169,152,bpc bonprix collection
94796295,girl,Dresses,169,158,bpc bonprix collection
94796295,girl,Dresses,169,164,bpc bonprix collection
94796295,girl,Dresses,169,170,bpc bonprix collection
95549295,girl,Dresses,129,134,bpc bonprix collection
95549295,girl,Dresses,129,146,bpc bonprix collection
95549295,girl,Dresses,129,158,bpc bonprix collection
95549295,girl,Dresses,129,170,bpc bonprix collection
95549295,girl,Dresses,129,182,bpc bonprix collection
96893395,girl,Dresses,129,122,bpc bonprix collection
96893395,girl,Dresses,129,134,bpc bonprix collection
96893395,girl,Dresses,129,146,bpc bonprix collection
96893395,girl,Dresses,129,158,bpc bonprix collection
96893395,girl,Dresses,129,170,bpc bonprix collection
96893395,girl,Dresses,129,182,bpc bonprix collection
90480981,girl,Dresses,129,134,bpc bonprix collection
90480981,girl,Dresses,129,146,bpc bonprix collection
90480981,girl,Dresses,129,158,bpc bonprix collection
90480981,girl,Dresses,129,170,bpc bonprix collection
90446195,girl,Dresses,149,116,bpc bonprix collection
90446195,girl,Dresses,149,122,bpc bonprix collection
90446195,girl,Dresses,149,128,bpc bonprix collection
90446195,girl,Dresses,149,134,bpc bonprix collection
90446195,girl,Dresses,149,140,bpc bonprix collection
90446195,girl,Dresses,149,146,bpc bonprix collection
90446195,girl,Dresses,149,152,bpc bonprix collection
90446195,girl,Dresses,149,158,bpc bonprix collection
90446195,girl,Dresses,149,164,bpc bonprix collection
90446195,girl,Dresses,149,170,bpc bonprix collection
90948595,girl,Dresses,249,128,bpc bonprix collection
90948595,girl,Dresses,249,134,bpc bonprix collection
90948595,girl,Dresses,249,140,bpc bonprix collection
90948595,girl,Dresses,249,146,bpc bonprix collection
90948595,girl,Dresses,249,152,bpc bonprix collection
90948595,girl,Dresses,249,158,bpc bonprix collection
90948595,girl,Dresses,249,164,bpc bonprix collection
90948595,girl,Dresses,249,170,bpc bonprix collection
94268481,girl,Dresses,79,134,bpc bonprix collection
