article_no,gender,category,price,new_size,brand
19358468,boy,overdelar,600,130,Peak Performance
19358468,boy,overdelar,600,140,Peak Performance
19358468,boy,overdelar,600,150,Peak Performance
19738461,boy,overdelar,349,62,Peak Performance
19738461,boy,overdelar,349,68,Peak Performance
19738461,boy,overdelar,349,74,Peak Performance
19738461,boy,overdelar,349,80,Peak Performance
19738461,boy,overdelar,349,86,Peak Performance
19738461,boy,overdelar,349,92,Peak Performance
19738461,boy,overdelar,349,98,Peak Performance
19738461,boy,overdelar,349,104,Peak Performance
18333126,boy,overdelar,150,104,Peak Performance
18333126,boy,overdelar,150,110,Peak Performance
18333126,boy,overdelar,150,116,Peak Performance
18333126,boy,overdelar,150,128,Peak Performance
18333126,boy,overdelar,150,140,Peak Performance
18333126,boy,overdelar,150,152,Peak Performance
18333126,boy,overdelar,150,164,Peak Performance
18333126,boy,overdelar,150,176,Peak Performance
20784547,boy,overdelar,99,86,Peak Performance
20784547,boy,overdelar,99,92,Peak Performance
20784547,boy,overdelar,99,98,Peak Performance
20784547,boy,overdelar,99,104,Peak Performance
20784547,boy,overdelar,99,110,Peak Performance
20784547,boy,overdelar,99,116,Peak Performance
19358663,boy,overdelar,300,130,Peak Performance
19358663,boy,overdelar,300,140,Peak Performance
19358663,boy,overdelar,300,150,Peak Performance
19358663,boy,overdelar,300,160,Peak Performance
19358663,boy,overdelar,300,170,Peak Performance
19750323,boy,overdelar,249,128,Peak Performance
19750323,boy,overdelar,249,134,Peak Performance
19750323,boy,overdelar,249,140,Peak Performance
19750323,boy,overdelar,249,146,Peak Performance
19750323,boy,overdelar,249,152,Peak Performance
19750323,boy,overdelar,249,158,Peak Performance
19750323,boy,overdelar,249,164,Peak Performance
18332390,boy,overdelar,350,104,Peak Performance
18332390,boy,overdelar,350,110,Peak Performance
18332390,boy,overdelar,350,116,Peak Performance
18332390,boy,overdelar,350,128,Peak Performance
18332390,boy,overdelar,350,140,Peak Performance
18332390,boy,overdelar,350,152,Peak Performance
18332390,boy,overdelar,350,164,Peak Performance
18332390,boy,overdelar,350,176,Peak Performance
18852970,boy,overdelar,450,104,Peak Performance
18852970,boy,overdelar,450,110,Peak Performance
18852970,boy,overdelar,450,116,Peak Performance
18852970,boy,overdelar,450,122,Peak Performance
18852970,boy,overdelar,450,128,Peak Performance
18852970,boy,overdelar,450,134,Peak Performance
18852970,boy,overdelar,450,140,Peak Performance
18852970,boy,overdelar,450,152,Peak Performance
18852970,boy,overdelar,450,164,Peak Performance
18852970,boy,overdelar,450,176,Peak Performance
19359142,boy,overdelar,700,130,Peak Performance
19359142,boy,overdelar,700,140,Peak Performance
19359142,boy,overdelar,700,150,Peak Performance
