article_no,gender,category,price,new_size,brand
46611322,Barn,BODIES & SPARKDRÄKTER,179,50,Ellos Kids
46611322,Barn,BODIES & SPARKDRÄKTER,179,56,Ellos Kids
46611322,Barn,BODIES & SPARKDRÄKTER,179,62,Ellos Kids
46611322,Barn,BODIES & SPARKDRÄKTER,179,68,Ellos Kids
46715397,Barn,BODIES & SPARKDRÄKTER,149,74,Ellos Kids
46715397,Barn,BODIES & SPARKDRÄKTER,149,80,Ellos Kids
46715397,Barn,BODIES & SPARKDRÄKTER,149,86,Ellos Kids
46536745,Barn,BODIES & SPARKDRÄKTER,59,62,Ellos Kids
46536745,Barn,BODIES & SPARKDRÄKTER,59,74,Ellos Kids
46536744,Barn,BODIES & SPARKDRÄKTER,125,74,Ellos Kids
47458498,Barn,BODIES & SPARKDRÄKTER,99,62,Ellos Kids
47458498,Barn,BODIES & SPARKDRÄKTER,99,68,Ellos Kids
47458498,Barn,BODIES & SPARKDRÄKTER,99,74,Ellos Kids
47458498,Barn,BODIES & SPARKDRÄKTER,99,80,Ellos Kids
47458498,Barn,BODIES & SPARKDRÄKTER,99,86,Ellos Kids
46816856,Barn,BODIES & SPARKDRÄKTER,199,74,Ellos Kids
46816856,Barn,BODIES & SPARKDRÄKTER,199,80,Ellos Kids
46816856,Barn,BODIES & SPARKDRÄKTER,199,86,Ellos Kids
47642459,Barn,BODIES & SPARKDRÄKTER,149,62,Ellos Kids
47642459,Barn,BODIES & SPARKDRÄKTER,149,68,Ellos Kids
47642459,Barn,BODIES & SPARKDRÄKTER,149,74,Ellos Kids
47642459,Barn,BODIES & SPARKDRÄKTER,149,80,Ellos Kids
47642459,Barn,BODIES & SPARKDRÄKTER,149,86,Ellos Kids
46309438,Barn,BODIES & SPARKDRÄKTER,119,50,Ellos Kids
46309438,Barn,BODIES & SPARKDRÄKTER,119,56,Ellos Kids
46309314,Barn,BODIES & SPARKDRÄKTER,99,62,Ellos Kids
46309314,Barn,BODIES & SPARKDRÄKTER,99,68,Ellos Kids
46309314,Barn,BODIES & SPARKDRÄKTER,99,74,Ellos Kids
46309314,Barn,BODIES & SPARKDRÄKTER,99,80,Ellos Kids
46309314,Barn,BODIES & SPARKDRÄKTER,99,86,Ellos Kids
47544005,Barn,BODIES & SPARKDRÄKTER,149,62,Ellos Kids
47544005,Barn,BODIES & SPARKDRÄKTER,149,68,Ellos Kids
47544005,Barn,BODIES & SPARKDRÄKTER,149,74,Ellos Kids
47544005,Barn,BODIES & SPARKDRÄKTER,149,80,Ellos Kids
47544005,Barn,BODIES & SPARKDRÄKTER,149,86,Ellos Kids
46309438,Barn,BODIES & SPARKDRÄKTER,119,50,Ellos Kids
46309438,Barn,BODIES & SPARKDRÄKTER,119,56,Ellos Kids
46662135,Pojke,BODIES & SPARKDRÄKTER,129,62,Petter&Kajsa
46662135,Pojke,BODIES & SPARKDRÄKTER,129,68,Petter&Kajsa
46662135,Pojke,BODIES & SPARKDRÄKTER,129,74,Petter&Kajsa
46662135,Pojke,BODIES & SPARKDRÄKTER,129,80,Petter&Kajsa
46662135,Pojke,BODIES & SPARKDRÄKTER,129,86,Petter&Kajsa
39569440,Pojke,BODIES & SPARKDRÄKTER,149,56,Petter & Kajsa
39569440,Pojke,BODIES & SPARKDRÄKTER,149,62,Petter & Kajsa
39569440,Pojke,BODIES & SPARKDRÄKTER,149,68,Petter & Kajsa
39569440,Pojke,BODIES & SPARKDRÄKTER,149,74,Petter & Kajsa
39569440,Pojke,BODIES & SPARKDRÄKTER,149,80,Petter & Kajsa
47544005,Barn,BODIES & SPARKDRÄKTER,149,62,Ellos Kids
47544005,Barn,BODIES & SPARKDRÄKTER,149,68,Ellos Kids
47544005,Barn,BODIES & SPARKDRÄKTER,149,74,Ellos Kids
47544005,Barn,BODIES & SPARKDRÄKTER,149,80,Ellos Kids
47544005,Barn,BODIES & SPARKDRÄKTER,149,86,Ellos Kids
47642465,Barn,BODIES & SPARKDRÄKTER,149,62,Ellos Kids
47642465,Barn,BODIES & SPARKDRÄKTER,149,68,Ellos Kids
47642465,Barn,BODIES & SPARKDRÄKTER,149,74,Ellos Kids
47642465,Barn,BODIES & SPARKDRÄKTER,149,80,Ellos Kids
47642465,Barn,BODIES & SPARKDRÄKTER,149,86,Ellos Kids
39569446,Flicka,BODIES & SPARKDRÄKTER,99,62,Ellos Kids
39569446,Flicka,BODIES & SPARKDRÄKTER,99,68,Ellos Kids
39569446,Flicka,BODIES & SPARKDRÄKTER,99,80,Ellos Kids
39569446,Flicka,BODIES & SPARKDRÄKTER,99,86,Ellos Kids
39569446,Flicka,BODIES & SPARKDRÄKTER,99,92,Ellos Kids
34958917,Pojke,BODIES & SPARKDRÄKTER,219,50,Walking
34958917,Pojke,BODIES & SPARKDRÄKTER,219,56,Walking
34958917,Pojke,BODIES & SPARKDRÄKTER,219,62,Walking
34958917,Pojke,BODIES & SPARKDRÄKTER,219,68,Walking
47551783,Barn,BODIES & SPARKDRÄKTER,149,62,Ellos Kids
47551783,Barn,BODIES & SPARKDRÄKTER,149,68,Ellos Kids
47551783,Barn,BODIES & SPARKDRÄKTER,149,74,Ellos Kids
47551783,Barn,BODIES & SPARKDRÄKTER,149,80,Ellos Kids
47551783,Barn,BODIES & SPARKDRÄKTER,149,86,Ellos Kids
39569489,Flicka,BODIES & SPARKDRÄKTER,179,50,Walking Bamboo
39569489,Flicka,BODIES & SPARKDRÄKTER,179,56,Walking Bamboo
39569489,Flicka,BODIES & SPARKDRÄKTER,179,62,Walking Bamboo
