article_no,gender,category,price,new_size,brand
 7007355-04-07,girl,byxor-shorts,74,92,Ellos Kids
 7007355-04-07,girl,byxor-shorts,74,104,Ellos Kids
 7007355-04-07,girl,byxor-shorts,74,116,Ellos Kids
 7007355-04-07,girl,byxor-shorts,74,128,Ellos Kids
 7007355-04-07,girl,byxor-shorts,74,140,Ellos Kids
 7007355-06-07,girl,byxor-shorts,74,92,Ellos Kids
 7007355-06-07,girl,byxor-shorts,74,104,Ellos Kids
 7007355-06-07,girl,byxor-shorts,74,116,Ellos Kids
 7007355-06-07,girl,byxor-shorts,74,128,Ellos Kids
 7007355-06-07,girl,byxor-shorts,74,140,Ellos Kids
 7007353-01-07,girl,byxor-shorts,74,92,Ellos Kids
 7007353-01-07,girl,byxor-shorts,74,104,Ellos Kids
 7007353-01-07,girl,byxor-shorts,74,116,Ellos Kids
 7007353-01-07,girl,byxor-shorts,74,128,Ellos Kids
 7007353-01-07,girl,byxor-shorts,74,140,Ellos Kids
 7007355-07-07,girl,byxor-shorts,74,92,Ellos Kids
 7007355-07-07,girl,byxor-shorts,74,104,Ellos Kids
 7007355-07-07,girl,byxor-shorts,74,116,Ellos Kids
 7007355-07-07,girl,byxor-shorts,74,128,Ellos Kids
 7007355-07-07,girl,byxor-shorts,74,140,Ellos Kids
 7006505-01-05,girl,byxor-shorts,59,80,Ellos Kids
 7006505-01-05,girl,byxor-shorts,59,92,Ellos Kids
 7006505-01-05,girl,byxor-shorts,59,104,Ellos Kids
 7006505-01-05,girl,byxor-shorts,59,116,Ellos Kids
 7007355-01-07,girl,byxor-shorts,74,92,Ellos Kids
 7007355-01-07,girl,byxor-shorts,74,104,Ellos Kids
 7007355-01-07,girl,byxor-shorts,74,116,Ellos Kids
 7007355-01-07,girl,byxor-shorts,74,128,Ellos Kids
 7007355-01-07,girl,byxor-shorts,74,140,Ellos Kids
 7007353-02-07,girl,byxor-shorts,74,92,Ellos Kids
 7007353-02-07,girl,byxor-shorts,74,104,Ellos Kids
 7007353-02-07,girl,byxor-shorts,74,116,Ellos Kids
 7007353-02-07,girl,byxor-shorts,74,128,Ellos Kids
 7007353-02-07,girl,byxor-shorts,74,140,Ellos Kids
 7006828-01-07,girl,byxor-shorts,59,92,Ellos Kids
 7006828-01-07,girl,byxor-shorts,59,104,Ellos Kids
 7006828-01-07,girl,byxor-shorts,59,116,Ellos Kids
 7006828-01-07,girl,byxor-shorts,59,128,Ellos Kids
 7006828-01-07,girl,byxor-shorts,59,140,Ellos Kids
 7006867-01-92,girl,byxor-shorts,149,92,Ellos Kids
 7006867-01-92,girl,byxor-shorts,149,98,Ellos Kids
 7006867-01-92,girl,byxor-shorts,149,104,Ellos Kids
 7006867-01-92,girl,byxor-shorts,149,110,Ellos Kids
 7006867-01-92,girl,byxor-shorts,149,116,Ellos Kids
 7006867-01-92,girl,byxor-shorts,149,122,Ellos Kids
 7006867-01-92,girl,byxor-shorts,149,128,Ellos Kids
 7004936-09-07,girl,byxor-shorts,89,92,Ellos Kids
 7004936-09-07,girl,byxor-shorts,89,104,Ellos Kids
 7004936-09-07,girl,byxor-shorts,89,116,Ellos Kids
 7004936-09-07,girl,byxor-shorts,89,128,Ellos Kids
 7004936-09-07,girl,byxor-shorts,89,140,Ellos Kids
 1066073-01-104,girl,byxor-shorts,75,92,Ellos Kids
 1066073-01-104,girl,byxor-shorts,75,98,Ellos Kids
 1066073-01-104,girl,byxor-shorts,75,104,Ellos Kids
 1066073-01-104,girl,byxor-shorts,75,110,Ellos Kids
 1066073-01-104,girl,byxor-shorts,75,116,Ellos Kids
 1066073-01-104,girl,byxor-shorts,75,122,Ellos Kids
 1066073-01-104,girl,byxor-shorts,75,128,Ellos Kids
 7006826-02-07,girl,byxor-shorts,59,92,Ellos Kids
 7006826-02-07,girl,byxor-shorts,59,104,Ellos Kids
 7006826-02-07,girl,byxor-shorts,59,116,Ellos Kids
 7006826-02-07,girl,byxor-shorts,59,128,Ellos Kids
 7006826-02-07,girl,byxor-shorts,59,140,Ellos Kids
 7005398-02-07,girl,byxor-shorts,90,92,Ellos Kids
 7005398-02-07,girl,byxor-shorts,90,104,Ellos Kids
 7005398-02-07,girl,byxor-shorts,90,116,Ellos Kids
 7005398-02-07,girl,byxor-shorts,90,128,Ellos Kids
 7005398-02-07,girl,byxor-shorts,90,140,Ellos Kids
 7007358-01-07,girl,byxor-shorts,134,92,Ellos Kids
 7007358-01-07,girl,byxor-shorts,134,104,Ellos Kids
 7007358-01-07,girl,byxor-shorts,134,116,Ellos Kids
 7007358-01-07,girl,byxor-shorts,134,128,Ellos Kids
 7007358-01-07,girl,byxor-shorts,134,140,Ellos Kids
 7005964-02-11,girl,byxor-shorts,50,92,Ellos Kids
 7005964-02-11,girl,byxor-shorts,50,104,Ellos Kids
 7005964-02-11,girl,byxor-shorts,50,116,Ellos Kids
 7005964-02-11,girl,byxor-shorts,50,128,Ellos Kids
 7005964-02-11,girl,byxor-shorts,50,140,Ellos Kids
 7005964-01-11,girl,byxor-shorts,50,92,Ellos Kids
 7005964-01-11,girl,byxor-shorts,50,104,Ellos Kids
 7005964-01-11,girl,byxor-shorts,50,116,Ellos Kids
 7005964-01-11,girl,byxor-shorts,50,128,Ellos Kids
 7005964-01-11,girl,byxor-shorts,50,140,Ellos Kids
 7007355-03-07,girl,byxor-shorts,74,92,Ellos Kids
 7007355-03-07,girl,byxor-shorts,74,104,Ellos Kids
 7007355-03-07,girl,byxor-shorts,74,116,Ellos Kids
 7007355-03-07,girl,byxor-shorts,74,128,Ellos Kids
 7007355-03-07,girl,byxor-shorts,74,140,Ellos Kids
 7008161-02-07,girl,byxor-shorts,74,92,Ellos Kids
 7008161-02-07,girl,byxor-shorts,74,104,Ellos Kids
 7008161-02-07,girl,byxor-shorts,74,116,Ellos Kids
 7008161-02-07,girl,byxor-shorts,74,128,Ellos Kids
 7008161-02-07,girl,byxor-shorts,74,140,Ellos Kids
 7004936-03-07,girl,byxor-shorts,74,92,Ellos Kids
 7004936-03-07,girl,byxor-shorts,74,104,Ellos Kids
 7004936-03-07,girl,byxor-shorts,74,116,Ellos Kids
