article_no,gender,category,price,new_size,brand
687678,unisex,accessoarer,79,0Y,Leksaker
687678,unisex,accessoarer,79,2Y,Leksaker
687678,unisex,accessoarer,79,4Y,Leksaker
687678,unisex,accessoarer,79,6Y,Leksaker
829706,unisex,accessoarer,129,2-4Y,Leksaker
829706,unisex,accessoarer,129,4-6Y,Leksaker
829706,unisex,accessoarer,129,6-8Y,Leksaker
829546,unisex,accessoarer,129,2-4Y,Leksaker
829546,unisex,accessoarer,129,4-6Y,Leksaker
829546,unisex,accessoarer,129,6-8Y,Leksaker
854241,unisex,accessoarer,109,0Y,Leksaker
854241,unisex,accessoarer,109,6Y,Leksaker
829714,unisex,accessoarer,129,2-4Y,Leksaker
829714,unisex,accessoarer,129,4-6Y,Leksaker
829714,unisex,accessoarer,129,6-8Y,Leksaker
854283,unisex,accessoarer,99,52,Leksaker
854283,unisex,accessoarer,99,54,Leksaker
854283,unisex,accessoarer,99,56,Leksaker
829698,unisex,accessoarer,129,2-4Y,Leksaker
829698,unisex,accessoarer,129,4-6Y,Leksaker
829698,unisex,accessoarer,129,6-8Y,Leksaker
854237,unisex,accessoarer,119,0Y,Leksaker
854237,unisex,accessoarer,119,4Y,Leksaker
854237,unisex,accessoarer,119,6Y,Leksaker
854229,unisex,accessoarer,99,0Y,Leksaker
854229,unisex,accessoarer,99,2Y,Leksaker
854229,unisex,accessoarer,99,4Y,Leksaker
854229,unisex,accessoarer,99,6Y,Leksaker
829690,unisex,accessoarer,129,2-4Y,Leksaker
829690,unisex,accessoarer,129,4-6Y,Leksaker
829690,unisex,accessoarer,129,6-8Y,Leksaker
854233,unisex,accessoarer,79,0Y,Leksaker
854233,unisex,accessoarer,79,2Y,Leksaker
854233,unisex,accessoarer,79,4Y,Leksaker
854233,unisex,accessoarer,79,6Y,Leksaker
829701,unisex,accessoarer,129,0-2Y,Leksaker
829701,unisex,accessoarer,129,2-4Y,Leksaker
829701,unisex,accessoarer,129,4-6Y,Leksaker
829701,unisex,accessoarer,129,6-8Y,Leksaker
829558,unisex,accessoarer,129,2-4Y,Leksaker
829558,unisex,accessoarer,129,4-6Y,Leksaker
829558,unisex,accessoarer,129,6-8Y,Leksaker
854259,unisex,accessoarer,149,4-6Y,Leksaker
829694,unisex,accessoarer,129,2-4Y,Leksaker
829694,unisex,accessoarer,129,4-6Y,Leksaker
829694,unisex,accessoarer,129,6-8Y,Leksaker
785331,unisex,accessoarer,89,80,Leksaker
774085,unisex,accessoarer,99,46-48,Leksaker
774083,unisex,accessoarer,99,46-48,Leksaker
774083,unisex,accessoarer,99,50-52,Leksaker
804775,unisex,accessoarer,79,56-62,Leksaker
804775,unisex,accessoarer,79,68-74,Leksaker
804775,unisex,accessoarer,79,80-92,Leksaker
717745,unisex,accessoarer,59,68-74,Leksaker
488597,unisex,accessoarer,99,0Y,Leksaker
789751,unisex,accessoarer,139,46-48,Leksaker
804769,unisex,accessoarer,79,56-62,Leksaker
804769,unisex,accessoarer,79,68-74,Leksaker
804769,unisex,accessoarer,79,80-92,Leksaker
774087,unisex,accessoarer,99,46-48,Leksaker
717662,unisex,accessoarer,289,0-3M,Leksaker
717662,unisex,accessoarer,289,3-6M,Leksaker
717662,unisex,accessoarer,289,6-12M,Leksaker
717662,unisex,accessoarer,289,12-18M,Leksaker
810902,unisex,accessoarer,339,0-6M,Leksaker
810902,unisex,accessoarer,339,6-12M,Leksaker
810902,unisex,accessoarer,339,12-18M,Leksaker
518641,unisex,accessoarer,59,Na,Leksaker
785341,unisex,accessoarer,89,Na,Leksaker
785341,unisex,accessoarer,89,80,Leksaker
785341,unisex,accessoarer,89,90,Leksaker
710652,unisex,accessoarer,159,34,Leksaker
717653,unisex,accessoarer,289,12-18M,Leksaker
804772,unisex,accessoarer,79,56-62,Leksaker
804772,unisex,accessoarer,79,68-74,Leksaker
804772,unisex,accessoarer,79,80-92,Leksaker
798373,unisex,accessoarer,179,44-46,Leksaker
786803,unisex,accessoarer,219,0-6M,Leksaker
786803,unisex,accessoarer,219,6-12M,Leksaker
786803,unisex,accessoarer,219,12-18M,Leksaker
717658,unisex,accessoarer,289,0-3M,Leksaker
717658,unisex,accessoarer,289,3-6M,Leksaker
717658,unisex,accessoarer,289,6-12M,Leksaker
717658,unisex,accessoarer,289,12-18M,Leksaker
785333,unisex,accessoarer,99,Na,Leksaker
785333,unisex,accessoarer,99,Na,Leksaker
785333,unisex,accessoarer,99,80,Leksaker
785333,unisex,accessoarer,99,90,Leksaker
780908,unisex,accessoarer,159,3-6M,Leksaker
780908,unisex,accessoarer,159,9-12M,Leksaker
797182,unisex,accessoarer,109,Na,Leksaker
789739,unisex,accessoarer,129,46-48,Leksaker
518645,unisex,accessoarer,59,Na,Leksaker
775014,unisex,accessoarer,99,48,Leksaker
775014,unisex,accessoarer,99,50,Leksaker
786800,unisex,accessoarer,199,6-12M,Leksaker
786800,unisex,accessoarer,199,2-3Y,Leksaker
837511,unisex,accessoarer,69,6-12M,Leksaker
837511,unisex,accessoarer,69,1-2Y,Leksaker
760482,unisex,accessoarer,109,6-12Y,Leksaker
789748,unisex,accessoarer,129,46-48,Leksaker
805223,unisex,accessoarer,599,68,Leksaker
805223,unisex,accessoarer,599,74,Leksaker
805223,unisex,accessoarer,599,80,Leksaker
810884,unisex,accessoarer,529,0-1Y,Leksaker
805235,unisex,accessoarer,599,68,Leksaker
805235,unisex,accessoarer,599,74,Leksaker
805235,unisex,accessoarer,599,80,Leksaker
797181,unisex,accessoarer,109,Na,Leksaker
789745,unisex,accessoarer,129,46-48,Leksaker
789745,unisex,accessoarer,129,50-52,Leksaker
845915,unisex,accessoarer,149,4-6Y,Leksaker
845915,unisex,accessoarer,149,6-12Y,Leksaker
805241,unisex,accessoarer,599,68,Leksaker
805241,unisex,accessoarer,599,74,Leksaker
805241,unisex,accessoarer,599,80,Leksaker
805241,unisex,accessoarer,599,86,Leksaker
805241,unisex,accessoarer,599,92,Leksaker
805241,unisex,accessoarer,599,98,Leksaker
797179,unisex,accessoarer,109,Na,Leksaker
833011,unisex,accessoarer,99,48,Leksaker
833011,unisex,accessoarer,99,50,Leksaker
789736,unisex,accessoarer,149,42-44,Leksaker
710655,unisex,accessoarer,169,34,Leksaker
710655,unisex,accessoarer,169,38,Leksaker
710655,unisex,accessoarer,169,42,Leksaker
785345,unisex,accessoarer,89,Na,Leksaker
785345,unisex,accessoarer,89,Na,Leksaker
785345,unisex,accessoarer,89,Na,Leksaker
785345,unisex,accessoarer,89,Na,Leksaker
785345,unisex,accessoarer,89,80,Leksaker
785345,unisex,accessoarer,89,90,Leksaker
786833,unisex,accessoarer,279,12-18M,Leksaker
790691,unisex,accessoarer,129,50,Leksaker
831882,unisex,accessoarer,119,S,Leksaker
831882,unisex,accessoarer,119,M,Leksaker
831882,unisex,accessoarer,119,L,Leksaker
845908,unisex,accessoarer,149,6-12Y,Leksaker
775006,unisex,accessoarer,79,52,Leksaker
813317,unisex,accessoarer,119,52,Leksaker
813317,unisex,accessoarer,119,54,Leksaker
757962,unisex,accessoarer,149,0-2Y,Leksaker
760360,unisex,accessoarer,99,6-8Y,Leksaker
786818,unisex,accessoarer,189,2-3Y,Leksaker
786818,unisex,accessoarer,189,4-5Y,Leksaker
786818,unisex,accessoarer,189,6-7Y,Leksaker
786779,unisex,accessoarer,139,2-3Y,Leksaker
786779,unisex,accessoarer,139,4-5Y,Leksaker
786779,unisex,accessoarer,139,6-7Y,Leksaker
786779,unisex,accessoarer,139,8-10Y,Leksaker
814179,unisex,accessoarer,89,0Y,Leksaker
814179,unisex,accessoarer,89,2Y,Leksaker
814179,unisex,accessoarer,89,4Y,Leksaker
814179,unisex,accessoarer,89,6Y,Leksaker
717901,unisex,accessoarer,209,2-4Y,Leksaker
717901,unisex,accessoarer,209,4-8Y,Leksaker
717901,unisex,accessoarer,209,58,Leksaker
832863,unisex,accessoarer,129,48,Leksaker
832863,unisex,accessoarer,129,50,Leksaker
786847,unisex,accessoarer,279,12-18M,Leksaker
786847,unisex,accessoarer,279,2-3Y,Leksaker
786847,unisex,accessoarer,279,4-5Y,Leksaker
786847,unisex,accessoarer,279,6-7Y,Leksaker
786847,unisex,accessoarer,279,8-10Y,Leksaker
775008,unisex,accessoarer,69,52,Leksaker
775008,unisex,accessoarer,69,54,Leksaker
760447,unisex,accessoarer,69,8-10Y,Leksaker
760447,unisex,accessoarer,69,10-12Y,Leksaker
760447,unisex,accessoarer,69,12-14Y,Leksaker
780095,unisex,accessoarer,269,36-38,Leksaker
780095,unisex,accessoarer,269,40-42,Leksaker
780095,unisex,accessoarer,269,44-46,Leksaker
780834,unisex,accessoarer,79,9-12M,Leksaker
643296,unisex,accessoarer,89,0Y,Leksaker
780124,unisex,accessoarer,79,1Y,Leksaker
757997,unisex,accessoarer,169,0-2Y,Leksaker
833009,unisex,accessoarer,129,48,Leksaker
833009,unisex,accessoarer,129,50,Leksaker
759444,unisex,accessoarer,129,0-1Y,Leksaker
