article_no,gender,category,price,size,brand
585208,boy,Shorts,99,56,NEWBIE BABY
585208,boy,Shorts,99,62,NEWBIE BABY
585208,boy,Shorts,99,68,NEWBIE BABY
585208,boy,Shorts,99,74,NEWBIE BABY
585208,boy,Shorts,99,80,NEWBIE BABY
585208,boy,Shorts,99,86,NEWBIE BABY
583203,boy,Shorts,199,56,NEWBIE BABY
583203,boy,Shorts,199,62,NEWBIE BABY
583203,boy,Shorts,199,68,NEWBIE BABY
583203,boy,Shorts,199,74,NEWBIE BABY
583203,boy,Shorts,199,80,NEWBIE BABY
583203,boy,Shorts,199,86,NEWBIE BABY
585190,boy,Shorts,99,56,NEWBIE BABY
585190,boy,Shorts,99,62,NEWBIE BABY
585190,boy,Shorts,99,68,NEWBIE BABY
585190,boy,Shorts,99,74,NEWBIE BABY
585190,boy,Shorts,99,80,NEWBIE BABY
585190,boy,Shorts,99,86,NEWBIE BABY
648832,boy,Shorts,99,62,DESIGN BY KAPPAHL
648832,boy,Shorts,99,68,DESIGN BY KAPPAHL
648832,boy,Shorts,99,74,DESIGN BY KAPPAHL
648832,boy,Shorts,99,80,DESIGN BY KAPPAHL
648832,boy,Shorts,99,86,DESIGN BY KAPPAHL
585216,boy,Shorts,69,56,NEWBIE BABY
585216,boy,Shorts,69,62,NEWBIE BABY
585216,boy,Shorts,69,68,NEWBIE BABY
585216,boy,Shorts,69,74,NEWBIE BABY
585216,boy,Shorts,69,80,NEWBIE BABY
585216,boy,Shorts,69,86,NEWBIE BABY
648873,boy,Shorts,69,62,DESIGN BY KAPPAHL
648873,boy,Shorts,69,68,DESIGN BY KAPPAHL
648873,boy,Shorts,69,74,DESIGN BY KAPPAHL
648873,boy,Shorts,69,80,DESIGN BY KAPPAHL
648873,boy,Shorts,69,86,DESIGN BY KAPPAHL
648915,boy,Shorts,50,62,DESIGN BY KAPPAHL
648915,boy,Shorts,50,68,DESIGN BY KAPPAHL
648915,boy,Shorts,50,74,DESIGN BY KAPPAHL
648915,boy,Shorts,50,80,DESIGN BY KAPPAHL
648915,boy,Shorts,50,86,DESIGN BY KAPPAHL
585182,boy,Shorts,69,56,NEWBIE BABY
585182,boy,Shorts,69,62,NEWBIE BABY
585182,boy,Shorts,69,68,NEWBIE BABY
585182,boy,Shorts,69,74,NEWBIE BABY
585182,boy,Shorts,69,80,NEWBIE BABY
585182,boy,Shorts,69,86,NEWBIE BABY
