article_no,gender,category,price,size,brand
Artikel 1381271,unisex,shoe,300,24,kavat
Artikel 1381271,unisex,shoe,300,25,kavat
Artikel 1381271,unisex,shoe,300,26,kavat
Artikel 1381271,unisex,shoe,300,27,kavat
Artikel 1381271,unisex,shoe,300,28,kavat
Artikel 1381271,unisex,shoe,300,29,kavat
Artikel 1381271,unisex,shoe,300,30,kavat
Artikel 1381271,unisex,shoe,300,31,kavat
Artikel 1381271,unisex,shoe,300,32,kavat
Artikel 1381271,unisex,shoe,300,33,kavat
Artikel 1381271,unisex,shoe,300,34,kavat
Artikel 1381271,unisex,shoe,300,35,kavat
Artikel 1381271,unisex,shoe,300,24,kavat
Artikel 1381271,unisex,shoe,300,25,kavat
Artikel 1381271,unisex,shoe,300,26,kavat
Artikel 1381271,unisex,shoe,300,27,kavat
Artikel 1381271,unisex,shoe,300,28,kavat
Artikel 1381271,unisex,shoe,300,29,kavat
Artikel 1381271,unisex,shoe,300,30,kavat
Artikel 1381271,unisex,shoe,300,31,kavat
Artikel 1381271,unisex,shoe,300,32,kavat
Artikel 1381271,unisex,shoe,300,33,kavat
Artikel 1381371,unisex,shoe,240,24,kavat
Artikel 1381371,unisex,shoe,240,25,kavat
Artikel 1381371,unisex,shoe,240,26,kavat
Artikel 1381371,unisex,shoe,240,27,kavat
Artikel 1381371,unisex,shoe,240,28,kavat
Artikel 1381371,unisex,shoe,240,29,kavat
Artikel 1381371,unisex,shoe,240,30,kavat
Artikel 1381371,unisex,shoe,240,31,kavat
Artikel 1381371,unisex,shoe,240,32,kavat
Artikel 1381371,unisex,shoe,240,33,kavat
Artikel 1381371,unisex,shoe,240,24,kavat
Artikel 1381371,unisex,shoe,240,25,kavat
Artikel 1381371,unisex,shoe,240,26,kavat
Artikel 1381371,unisex,shoe,240,27,kavat
Artikel 1381371,unisex,shoe,240,28,kavat
Artikel 1381371,unisex,shoe,240,29,kavat
Artikel 1381371,unisex,shoe,240,30,kavat
Artikel 1381371,unisex,shoe,240,31,kavat
Artikel 1381371,unisex,shoe,240,32,kavat
Artikel 1381371,unisex,shoe,240,33,kavat
Artikel 1381371,unisex,shoe,480,24,kavat
Artikel 1381371,unisex,shoe,480,25,kavat
Artikel 1381371,unisex,shoe,480,26,kavat
Artikel 1381371,unisex,shoe,480,27,kavat
Artikel 1381371,unisex,shoe,480,28,kavat
Artikel 1381371,unisex,shoe,480,29,kavat
Artikel 1381371,unisex,shoe,480,30,kavat
Artikel 1381371,unisex,shoe,480,31,kavat
Artikel 1381371,unisex,shoe,480,32,kavat
Artikel 1381371,unisex,shoe,480,33,kavat
Artikel 1291371,unisex,shoe,200,19,kavat
Artikel 1291371,unisex,shoe,200,20,kavat
Artikel 1291371,unisex,shoe,200,21,kavat
Artikel 1291371,unisex,shoe,200,22,kavat
Artikel 1291371,unisex,shoe,200,23,kavat
Artikel 1291371,unisex,shoe,200,24,kavat
Artikel 1291371,unisex,shoe,400,19,kavat
Artikel 1291371,unisex,shoe,400,20,kavat
Artikel 1291371,unisex,shoe,400,21,kavat
Artikel 1291371,unisex,shoe,400,22,kavat
Artikel 1291371,unisex,shoe,400,23,kavat
Artikel 1291371,unisex,shoe,400,24,kavat
Artikel 1291371,unisex,shoe,200,19,kavat
Artikel 1291371,unisex,shoe,200,20,kavat
Artikel 1291371,unisex,shoe,200,21,kavat
Artikel 1291371,unisex,shoe,200,22,kavat
Artikel 1291371,unisex,shoe,200,23,kavat
Artikel 1291371,unisex,shoe,200,24,kavat
Artikel 1291371,unisex,shoe,400,19,kavat
Artikel 1291371,unisex,shoe,400,20,kavat
Artikel 1291371,unisex,shoe,400,21,kavat
Artikel 1291371,unisex,shoe,400,22,kavat
Artikel 1291371,unisex,shoe,400,23,kavat
Artikel 1291371,unisex,shoe,400,24,kavat
Artikel 3071291,unisex,shoe,600,20,kavat
Artikel 3071291,unisex,shoe,600,21,kavat
Artikel 3071291,unisex,shoe,600,22,kavat
Artikel 3071291,unisex,shoe,600,23,kavat
Artikel 3071291,unisex,shoe,600,24,kavat
Artikel 3071291,unisex,shoe,600,25,kavat
Artikel 3071291,unisex,shoe,600,26,kavat
Artikel 3071291,unisex,shoe,600,20,kavat
Artikel 3071291,unisex,shoe,600,21,kavat
Artikel 3071291,unisex,shoe,600,22,kavat
Artikel 3071291,unisex,shoe,600,23,kavat
Artikel 3071291,unisex,shoe,600,24,kavat
Artikel 3071291,unisex,shoe,600,25,kavat
Artikel 3071291,unisex,shoe,600,26,kavat
Artikel 3071291,unisex,shoe,600,20,kavat
Artikel 3071291,unisex,shoe,600,21,kavat
