article_no,gender,category,price,size,brand
product-entry-id-35919,boy,BYXOR,599,10Y,Tommy Hilfiger
product-entry-id-35919,boy,BYXOR,599,12Y,Tommy Hilfiger
product-entry-id-35919,boy,BYXOR,599,14Y,Tommy Hilfiger
product-entry-id-35919,boy,BYXOR,599,16Y,Tommy Hilfiger
product-entry-id-34729,boy,BYXOR,319,S,Under Armour
product-entry-id-34729,boy,BYXOR,319,M,Under Armour
product-entry-id-34729,boy,BYXOR,319,L,Under Armour
product-entry-id-34729,boy,BYXOR,319,XL,Under Armour
product-entry-id-34691,boy,BYXOR,319,S,Under Armour
product-entry-id-34691,boy,BYXOR,319,M,Under Armour
product-entry-id-34691,boy,BYXOR,319,L,Under Armour
product-entry-id-34691,boy,BYXOR,319,XL,Under Armour
product-entry-id-37525,boy,BYXOR,959,10Y,Replay
product-entry-id-37525,boy,BYXOR,959,12Y,Replay
product-entry-id-37525,boy,BYXOR,959,14Y,Replay
product-entry-id-37525,boy,BYXOR,959,16Y,Replay
product-entry-id-37524,boy,BYXOR,799,10Y,Replay
product-entry-id-37524,boy,BYXOR,799,12Y,Replay
product-entry-id-37524,boy,BYXOR,799,14Y,Replay
product-entry-id-37524,boy,BYXOR,799,16Y,Replay
product-entry-id-36585,boy,BYXOR,439,130,Peak Performance
product-entry-id-36585,boy,BYXOR,439,140,Peak Performance
product-entry-id-36585,boy,BYXOR,439,150,Peak Performance
product-entry-id-36585,boy,BYXOR,439,160,Peak Performance
product-entry-id-36585,boy,BYXOR,439,170,Peak Performance
product-entry-id-36582,boy,BYXOR,439,130,Peak Performance
product-entry-id-36582,boy,BYXOR,439,140,Peak Performance
product-entry-id-36582,boy,BYXOR,439,150,Peak Performance
product-entry-id-36582,boy,BYXOR,439,160,Peak Performance
product-entry-id-36582,boy,BYXOR,439,170,Peak Performance
product-entry-id-35853,boy,BYXOR,599,10Y,Calvin Klein
product-entry-id-35853,boy,BYXOR,599,12Y,Calvin Klein
product-entry-id-35853,boy,BYXOR,599,14Y,Calvin Klein
product-entry-id-35853,boy,BYXOR,599,16Y,Calvin Klein
product-entry-id-35774,boy,BYXOR,559,134-140,Gant
product-entry-id-35774,boy,BYXOR,559,146-152,Gant
product-entry-id-35774,boy,BYXOR,559,158-164,Gant
product-entry-id-35774,boy,BYXOR,559,170,Gant
product-entry-id-35774,boy,BYXOR,559,176,Gant
product-entry-id-35773,boy,BYXOR,559,134-140,Gant
product-entry-id-35773,boy,BYXOR,559,146-152,Gant
product-entry-id-35773,boy,BYXOR,559,158-164,Gant
product-entry-id-35773,boy,BYXOR,559,170,Gant
product-entry-id-35773,boy,BYXOR,559,176,Gant
product-entry-id-35534,boy,BYXOR,639,10Y,Scotch & Soda
product-entry-id-35534,boy,BYXOR,639,12Y,Scotch & Soda
product-entry-id-35534,boy,BYXOR,639,14Y,Scotch & Soda
product-entry-id-35534,boy,BYXOR,639,16Y,Scotch & Soda
product-entry-id-35533,boy,BYXOR,639,10Y,Scotch & Soda
product-entry-id-35533,boy,BYXOR,639,12Y,Scotch & Soda
product-entry-id-35533,boy,BYXOR,639,14Y,Scotch & Soda
product-entry-id-35533,boy,BYXOR,639,16Y,Scotch & Soda
product-entry-id-35855,boy,BYXOR,599,10Y,Calvin Klein
product-entry-id-35855,boy,BYXOR,599,12Y,Calvin Klein
product-entry-id-35855,boy,BYXOR,599,14Y,Calvin Klein
product-entry-id-35855,boy,BYXOR,599,16Y,Calvin Klein
product-entry-id-33464,boy,BYXOR,479,10Y,Lacoste
product-entry-id-33464,boy,BYXOR,479,12Y,Lacoste
product-entry-id-33464,boy,BYXOR,479,14Y,Lacoste
product-entry-id-33464,boy,BYXOR,479,16Y,Lacoste
product-entry-id-32998,boy,BYXOR,537,8,Ralph Lauren
product-entry-id-32998,boy,BYXOR,537,10,Ralph Lauren
product-entry-id-32998,boy,BYXOR,537,12,Ralph Lauren
product-entry-id-32998,boy,BYXOR,537,14,Ralph Lauren
product-entry-id-32998,boy,BYXOR,537,16,Ralph Lauren
product-entry-id-32998,boy,BYXOR,537,18,Ralph Lauren
product-entry-id-32998,boy,BYXOR,537,20,Ralph Lauren
product-entry-id-32991,boy,BYXOR,537,8,Ralph Lauren
product-entry-id-32991,boy,BYXOR,537,10,Ralph Lauren
product-entry-id-32991,boy,BYXOR,537,12,Ralph Lauren
product-entry-id-32991,boy,BYXOR,537,14,Ralph Lauren
product-entry-id-32991,boy,BYXOR,537,16,Ralph Lauren
