article_no,gender,category,price,size,brand
13651,unisex,shorts,30,90,lager157
13651,unisex,shorts,30,100,lager157
13651,unisex,shorts,30,130,lager157
13651,unisex,shorts,30,150,lager157
13651,unisex,shorts,30,110,lager157
13651,unisex,shorts,30,160,lager157
13651,unisex,shorts,30,140,lager157
13651,unisex,shorts,30,120,lager157
13651,unisex,shorts,30,90,lager157
13651,unisex,shorts,30,100,lager157
13651,unisex,shorts,30,130,lager157
13651,unisex,shorts,30,150,lager157
13651,unisex,shorts,30,110,lager157
13651,unisex,shorts,30,160,lager157
13651,unisex,shorts,30,140,lager157
13651,unisex,shorts,30,120,lager157
13651,unisex,shorts,30,90,lager157
13651,unisex,shorts,30,100,lager157
13651,unisex,shorts,30,130,lager157
13651,unisex,shorts,30,150,lager157
13651,unisex,shorts,30,110,lager157
13651,unisex,shorts,30,160,lager157
13651,unisex,shorts,30,140,lager157
13651,unisex,shorts,30,120,lager157
13651,unisex,shorts,30,90,lager157
13651,unisex,shorts,30,100,lager157
13651,unisex,shorts,30,130,lager157
13651,unisex,shorts,30,150,lager157
13651,unisex,shorts,30,110,lager157
13651,unisex,shorts,30,160,lager157
13651,unisex,shorts,30,140,lager157
13651,unisex,shorts,30,120,lager157
13635,unisex,shorts,30,90,lager157
13635,unisex,shorts,30,100,lager157
13635,unisex,shorts,30,130,lager157
13635,unisex,shorts,30,150,lager157
13635,unisex,shorts,30,110,lager157
13635,unisex,shorts,30,160,lager157
13635,unisex,shorts,30,140,lager157
13635,unisex,shorts,30,120,lager157
13635,unisex,shorts,30,90,lager157
13635,unisex,shorts,30,100,lager157
13635,unisex,shorts,30,130,lager157
13635,unisex,shorts,30,150,lager157
13635,unisex,shorts,30,110,lager157
13635,unisex,shorts,30,160,lager157
13635,unisex,shorts,30,140,lager157
13635,unisex,shorts,30,120,lager157
13635,unisex,shorts,30,90,lager157
13635,unisex,shorts,30,100,lager157
13635,unisex,shorts,30,130,lager157
13635,unisex,shorts,30,150,lager157
13635,unisex,shorts,30,110,lager157
13635,unisex,shorts,30,160,lager157
13635,unisex,shorts,30,140,lager157
13635,unisex,shorts,30,120,lager157
13531,unisex,shorts,30,90,lager157
13531,unisex,shorts,30,100,lager157
13531,unisex,shorts,30,130,lager157
13531,unisex,shorts,30,150,lager157
13531,unisex,shorts,30,110,lager157
13531,unisex,shorts,30,160,lager157
13531,unisex,shorts,30,140,lager157
13531,unisex,shorts,30,120,lager157
13531,unisex,shorts,30,90,lager157
13531,unisex,shorts,30,100,lager157
13531,unisex,shorts,30,130,lager157
13531,unisex,shorts,30,150,lager157
13531,unisex,shorts,30,110,lager157
13531,unisex,shorts,30,160,lager157
13531,unisex,shorts,30,140,lager157
13531,unisex,shorts,30,120,lager157
13531,unisex,shorts,30,90,lager157
13531,unisex,shorts,30,100,lager157
13531,unisex,shorts,30,130,lager157
13531,unisex,shorts,30,150,lager157
13531,unisex,shorts,30,110,lager157
13531,unisex,shorts,30,160,lager157
13531,unisex,shorts,30,140,lager157
13531,unisex,shorts,30,120,lager157
11738,unisex,shorts,80,90,lager157
11738,unisex,shorts,80,100,lager157
11738,unisex,shorts,80,130,lager157
11738,unisex,shorts,80,150,lager157
11738,unisex,shorts,80,110,lager157
11738,unisex,shorts,80,160,lager157
11738,unisex,shorts,80,140,lager157
11738,unisex,shorts,80,120,lager157
11738,unisex,shorts,80,90,lager157
11738,unisex,shorts,80,100,lager157
11738,unisex,shorts,80,130,lager157
11738,unisex,shorts,80,150,lager157
11738,unisex,shorts,80,110,lager157
11738,unisex,shorts,80,160,lager157
11738,unisex,shorts,80,140,lager157
11738,unisex,shorts,80,120,lager157
11738,unisex,shorts,80,90,lager157
11738,unisex,shorts,80,100,lager157
11738,unisex,shorts,80,130,lager157
11738,unisex,shorts,80,150,lager157
11738,unisex,shorts,80,110,lager157
11738,unisex,shorts,80,160,lager157
11738,unisex,shorts,80,140,lager157
11738,unisex,shorts,80,120,lager157
11738,unisex,shorts,80,90,lager157
11738,unisex,shorts,80,100,lager157
11738,unisex,shorts,80,130,lager157
11738,unisex,shorts,80,150,lager157
11738,unisex,shorts,80,110,lager157
11738,unisex,shorts,80,160,lager157
11738,unisex,shorts,80,140,lager157
11738,unisex,shorts,80,120,lager157
