article_no,gender,category,price,new_size,brand
465903,unisex,accessories,199,6-16Y,New York Yankees
536873,unisex,accessories,145,0-3M,Gap
537130,unisex,accessories,309,S-M,Gap
431064,unisex,accessories,69,52,My Little Pony
467119,unisex,accessories,435,Na,Timberland
467118,unisex,accessories,365,6Y,Timberland
415358,unisex,accessories,139,2-3Y,Kuling
415357,unisex,accessories,139,2-3Y,Kuling
415360,unisex,accessories,139,2-3Y,Kuling
415359,unisex,accessories,139,2-3Y,Kuling
358292,unisex,accessories,139,2-3Y,Kuling
358290,unisex,accessories,139,2-3Y,Kuling
415352,unisex,accessories,179,48-50,Kuling
415350,unisex,accessories,179,48-50,Kuling
358288,unisex,accessories,179,48-50,Kuling
500600,unisex,accessories,229,1-2Y,Minymo
467163,unisex,accessories,365,6M,Timberland
467127,unisex,accessories,435,52,Timberland
467126,unisex,accessories,435,52,Timberland
467125,unisex,accessories,315,52,Timberland
467124,unisex,accessories,315,52,Timberland
467123,unisex,accessories,315,52,Timberland
467120,unisex,accessories,435,Na,Timberland
467115,unisex,accessories,315,Na,Timberland
467114,unisex,accessories,315,Na,Timberland
461560,unisex,accessories,265,Na,The North Face
490614,unisex,accessories,199,0-3M,Emma och Malena
456383,unisex,accessories,249,46-48,Hummel
416618,unisex,accessories,289,6-12M,Mini A Ture
416616,unisex,accessories,289,2-3Y,Mini A Ture
416649,unisex,accessories,199,6-12M,Mini A Ture
416626,unisex,accessories,289,2-3Y,Mini A Ture
416629,unisex,accessories,289,6-12M,Mini A Ture
416614,unisex,accessories,289,0-6M,Mini A Ture
416635,unisex,accessories,289,6-12M,Mini A Ture
448164,unisex,accessories,179,XS-S,Gap
431535,unisex,accessories,179,42-44,Mumin
431538,unisex,accessories,179,42-44,Mumin
431549,unisex,accessories,179,42-44,Mumin
448168,unisex,accessories,229,XS-S,Gap
408584,unisex,accessories,249,Na,ebbe Kids
408581,unisex,accessories,249,Na,ebbe Kids
408561,unisex,accessories,199,Na,ebbe Kids
431451,unisex,accessories,189,48-50,Pippi Långstrump
414269,unisex,accessories,149,0,Didriksons
459813,unisex,accessories,79,1-4Y,Frugi
414240,unisex,accessories,299,48-50,Didriksons
414239,unisex,accessories,299,48-50,Didriksons
414280,unisex,accessories,149,52,Didriksons
414279,unisex,accessories,149,52,Didriksons
414278,unisex,accessories,149,52,Didriksons
414277,unisex,accessories,149,52,Didriksons
414276,unisex,accessories,149,52,Didriksons
414268,unisex,accessories,149,0,Didriksons
398675,unisex,accessories,199,48,Reima
431063,unisex,accessories,69,52,My Little Pony
408971,unisex,accessories,169,36,Reima
408970,unisex,accessories,169,36,Reima
398674,unisex,accessories,199,52,Reima
398673,unisex,accessories,199,52,Reima
414273,unisex,accessories,149,0,Didriksons
414272,unisex,accessories,149,0,Didriksons
414271,unisex,accessories,149,2,Didriksons
414270,unisex,accessories,149,0,Didriksons
404690,unisex,accessories,149,2,Ticket To Heaven
404689,unisex,accessories,149,0-5,Ticket To Heaven
404667,unisex,accessories,249,49,Ticket To Heaven
446200,unisex,accessories,199,74-80,Small Rags
419960,unisex,accessories,229,2-6Y,Geggamoja
400193,unisex,accessories,199,47,Melton
400191,unisex,accessories,199,45,Melton
400190,unisex,accessories,199,45,Melton
400190,unisex,accessories,199,45,Melton
400188,unisex,accessories,199,49,Melton
400187,unisex,accessories,199,49,Melton
400186,unisex,accessories,199,49,Melton
400185,unisex,accessories,199,49,Melton
400184,unisex,accessories,199,49,Melton
202921,unisex,accessories,199,45,Melton
171323,unisex,accessories,169,49,Melton
446416,unisex,accessories,119,62-68,Fixoni
446415,unisex,accessories,119,50-56,Fixoni
446414,unisex,accessories,119,50-56,Fixoni
446314,unisex,accessories,119,50-56,Fixoni
446313,unisex,accessories,119,50-56,Fixoni
446309,unisex,accessories,119,62-68,Fixoni
445879,unisex,accessories,325,0-3M,One We Like
396797,unisex,accessories,129,3,Reima
396796,unisex,accessories,129,3,Reima
396795,unisex,accessories,129,3,Reima
396791,unisex,accessories,349,8,Reima
396790,unisex,accessories,349,3,Reima
287183,unisex,accessories,175,S-M,Gap
287182,unisex,accessories,175,S-M,Gap
396787,unisex,accessories,199,0,Reima
396786,unisex,accessories,199,0,Reima
396785,unisex,accessories,199,0,Reima
396784,unisex,accessories,199,0,Reima
396782,unisex,accessories,249,1,Reima
414358,unisex,accessories,199,3-9M,Emma och Malena
403783,unisex,accessories,149,37,Joha
287181,unisex,accessories,99,XS-S,Gap
398672,unisex,accessories,199,44,Reima
398671,unisex,accessories,199,44,Reima
398670,unisex,accessories,199,44,Reima
398669,unisex,accessories,199,44,Reima
408969,unisex,accessories,169,36,Reima
396794,unisex,accessories,129,1,Reima
396793,unisex,accessories,129,3,Reima
396792,unisex,accessories,129,3,Reima
396783,unisex,accessories,299,5,Reima
396674,unisex,accessories,249,1,Reima
445883,unisex,accessories,325,0-3M,One We Like
419963,unisex,accessories,229,2-6Y,Geggamoja
419962,unisex,accessories,229,2-6Y,Geggamoja
419961,unisex,accessories,229,2-6Y,Geggamoja
419959,unisex,accessories,229,2-6Y,Geggamoja
419955,unisex,accessories,199,4-10M,Geggamoja
408570,unisex,accessories,199,Na,ebbe Kids
408569,unisex,accessories,199,Na,ebbe Kids
407199,unisex,accessories,199,46-48,Hummel
407196,unisex,accessories,199,46-48,Hummel
407195,unisex,accessories,199,46-48,Hummel
419933,unisex,accessories,199,Na,Geggamoja
407274,unisex,accessories,149,38-40,Hummel
407236,unisex,accessories,149,38-40,Hummel
439147,unisex,accessories,169,0-3M,Gap
439086,unisex,accessories,209,6-12M,Gap
414401,unisex,accessories,249,Na,Retour
414400,unisex,accessories,249,Na,Retour
419944,unisex,accessories,199,10M-2Y,Geggamoja
439059,unisex,accessories,175,XS-S,Gap
439115,unisex,accessories,139,0-3M,Gap
439082,unisex,accessories,209,12-18M,Gap
437128,unisex,accessories,209,XL,Gap
437045,unisex,accessories,209,12-18M,Gap
437076,unisex,accessories,209,12-18M,Gap
396272,unisex,accessories,199,48,Reima
396265,unisex,accessories,169,46,Reima
396365,unisex,accessories,169,48,Reima
396363,unisex,accessories,169,46,Reima
396274,unisex,accessories,199,48,Reima
396271,unisex,accessories,169,48,Reima
396269,unisex,accessories,229,46,Reima
396268,unisex,accessories,169,46,Reima
396370,unisex,accessories,229,46,Reima
396371,unisex,accessories,199,48,Reima
396364,unisex,accessories,229,46,Reima
396267,unisex,accessories,169,46,Reima
396362,unisex,accessories,169,46,Reima
396277,unisex,accessories,169,1,Reima
396276,unisex,accessories,149,1,Reima
396275,unisex,accessories,169,50,Reima
396273,unisex,accessories,199,48,Reima
396270,unisex,accessories,169,48,Reima
396266,unisex,accessories,169,46,Reima
418901,unisex,accessories,315,48-50,Isbjörn Of Sweden
418900,unisex,accessories,315,48-50,Isbjörn Of Sweden
386560,unisex,accessories,189,0-6M,Joules
370814,unisex,accessories,149,122-128,Kuling
370814,unisex,accessories,149,122-128,Kuling
414357,unisex,accessories,199,3-9M,Emma och Malena
414356,unisex,accessories,199,3-9M,Emma och Malena
370813,unisex,accessories,149,98-104,Kuling
370812,unisex,accessories,149,122-128,Kuling
370808,unisex,accessories,179,48-50,Kuling
382703,unisex,accessories,509,Na,Cebe
382698,unisex,accessories,439,Na,Cebe
403784,unisex,accessories,149,37,Joha
403779,unisex,accessories,199,41-45,Joha
403778,unisex,accessories,199,41-45,Joha
403777,unisex,accessories,119,45,Joha
403776,unisex,accessories,119,37,Joha
403774,unisex,accessories,179,41-45,Joha
382702,unisex,accessories,509,Na,Cebe
382697,unisex,accessories,439,Na,Cebe
178860,unisex,accessories,399,3-5Y,Cebe
403766,unisex,accessories,179,41,Joha
403762,unisex,accessories,119,37,Joha
403761,unisex,accessories,119,37,Joha
403760,unisex,accessories,119,37,Joha
419985,unisex,accessories,199,Na,Geggamoja
421843,unisex,accessories,149,50,Bergans
421842,unisex,accessories,149,50,Bergans
421841,unisex,accessories,149,50,Bergans
421840,unisex,accessories,149,50,Bergans
421839,unisex,accessories,99,50,Bergans
421837,unisex,accessories,99,50,Bergans
421837,unisex,accessories,99,50,Bergans
421836,unisex,accessories,99,50,Bergans
418437,unisex,accessories,179,52,LEGO Wear
418433,unisex,accessories,179,56,LEGO Wear
418432,unisex,accessories,179,56,LEGO Wear
418436,unisex,accessories,179,52,LEGO Wear
419984,unisex,accessories,199,Na,Geggamoja
419952,unisex,accessories,229,XXS,Geggamoja
419942,unisex,accessories,199,Na,Geggamoja
418928,unisex,accessories,315,44-46,Isbjörn Of Sweden
399457,unisex,accessories,129,122-128,Mikk-Line
399456,unisex,accessories,129,122-128,Mikk-Line
399454,unisex,accessories,129,134-140,Mikk-Line
419967,unisex,accessories,229,Na,Geggamoja
419951,unisex,accessories,199,Na,Geggamoja
419950,unisex,accessories,199,Na,Geggamoja
419949,unisex,accessories,199,Na,Geggamoja
419948,unisex,accessories,199,Na,Geggamoja
419927,unisex,accessories,229,Na,Geggamoja
418658,unisex,accessories,149,Na,Lindberg
418657,unisex,accessories,149,Na,Lindberg
418655,unisex,accessories,149,Na,Lindberg
418654,unisex,accessories,149,Na,Lindberg
418653,unisex,accessories,149,Na,Lindberg
413303,unisex,accessories,249,56,Levis Kids
381985,unisex,accessories,99,68-74,The BRAND
381984,unisex,accessories,99,68-74,The BRAND
381983,unisex,accessories,99,68-74,The BRAND
424303,unisex,accessories,299,0-6M,Elodie Details
380059,unisex,accessories,209,XS,Hatley
408683,unisex,accessories,75,S,Name It
L-0036179-1011,unisex,accessories,99,0-12M,Jocko
380061,unisex,accessories,209,XS,Hatley
380058,unisex,accessories,209,XS,Hatley
380057,unisex,accessories,209,XS,Hatley
380056,unisex,accessories,209,S,Hatley
380055,unisex,accessories,209,XS,Hatley
413307,unisex,accessories,199,46,Levis Kids
418637,unisex,accessories,149,50,Lindberg
418632,unisex,accessories,149,1,Lindberg
418628,unisex,accessories,149,1,Lindberg
420597,unisex,accessories,129,42-44,Mumin
358286,unisex,accessories,149,48-50,Kuling
358289,unisex,accessories,149,48-50,Kuling
358287,unisex,accessories,149,48-50,Kuling
358293,unisex,accessories,129,2-3Y,Kuling
358291,unisex,accessories,129,4-5Y,Kuling
357155,unisex,accessories,179,2-3Y,Kuling
357154,unisex,accessories,179,2-3Y,Kuling
357153,unisex,accessories,179,0-1Y,Kuling
358318,unisex,accessories,99,1-3Y,Kuling
358319,unisex,accessories,99,1-3Y,Kuling
358316,unisex,accessories,99,2-3Y,Kuling
358317,unisex,accessories,99,2-3Y,Kuling
420627,unisex,accessories,149,48-50,Pippi Långstrump
403782,unisex,accessories,129,37,Joha
403781,unisex,accessories,129,37,Joha
403780,unisex,accessories,129,37,Joha
403772,unisex,accessories,119,37,Joha
403771,unisex,accessories,129,37,Joha
358320,unisex,accessories,99,48-50,Kuling
358322,unisex,accessories,99,48-50,Kuling
358323,unisex,accessories,99,48-50,Kuling
358324,unisex,accessories,99,48-50,Kuling
358321,unisex,accessories,99,48-50,Kuling
419565,unisex,accessories,199,2-6Y,Geggamoja
419562,unisex,accessories,199,2-6Y,Geggamoja
419561,unisex,accessories,199,2-6Y,Geggamoja
419560,unisex,accessories,199,Na,Geggamoja
419559,unisex,accessories,199,XXS,Geggamoja
419558,unisex,accessories,199,Na,Geggamoja
419557,unisex,accessories,199,Na,Geggamoja
419556,unisex,accessories,199,Na,Geggamoja
419555,unisex,accessories,199,Na,Geggamoja
429901,unisex,accessories,699,48-50,Little Jalo
429900,unisex,accessories,799,44-46,Little Jalo
429899,unisex,accessories,699,48-50,Little Jalo
429898,unisex,accessories,799,44-46,Little Jalo
429895,unisex,accessories,799,44-46,Little Jalo
366558,unisex,accessories,189,S-M,Gap
247384,unisex,accessories,299,L-XL,Gap
368302,unisex,accessories,239,3-6M,Gap
367200,unisex,accessories,159,S-M,Gap
367196,unisex,accessories,189,XS-S,Gap
367189,unisex,accessories,189,S-M,Gap
367188,unisex,accessories,189,S-M,Gap
367185,unisex,accessories,199,Na,Gap
367184,unisex,accessories,159,S-M,Gap
367183,unisex,accessories,159,XS-S,Gap
366641,unisex,accessories,199,6-12M,Gap
366615,unisex,accessories,139,S-M,Gap
366553,unisex,accessories,189,S-M,Gap
366552,unisex,accessories,189,S-M,Gap
366549,unisex,accessories,159,S,Gap
366548,unisex,accessories,159,S,Gap
366524,unisex,accessories,159,L-XL,Gap
367197,unisex,accessories,359,S-M,Gap
372343,unisex,accessories,99,44-46,A Happy Brand
372342,unisex,accessories,99,44-46,A Happy Brand
372341,unisex,accessories,99,44-46,A Happy Brand
372340,unisex,accessories,99,44-46,A Happy Brand
372339,unisex,accessories,99,44-46,A Happy Brand
372338,unisex,accessories,99,44-46,A Happy Brand
372337,unisex,accessories,99,44-46,A Happy Brand
372336,unisex,accessories,99,44-46,A Happy Brand
372335,unisex,accessories,99,44-46,A Happy Brand
372334,unisex,accessories,99,44-46,A Happy Brand
273515,unisex,accessories,199,52,Kuling
273516,unisex,accessories,199,54,Kuling
273519,unisex,accessories,199,52,Kuling
408128,unisex,accessories,75,110-128,Name It
