article_no,gender,category,price,size,brand
13167118,girl,ni-baby-dresses-skirts,150,50,nameit
13167118,girl,ni-baby-dresses-skirts,150,56,nameit
13167118,girl,ni-baby-dresses-skirts,150,62,nameit
13167118,girl,ni-baby-dresses-skirts,150,68,nameit
13167118,girl,ni-baby-dresses-skirts,150,74,nameit
13167118,girl,ni-baby-dresses-skirts,150,80,nameit
13167118,girl,ni-baby-dresses-skirts,150,50,nameit
13167118,girl,ni-baby-dresses-skirts,150,56,nameit
13167118,girl,ni-baby-dresses-skirts,150,62,nameit
13167118,girl,ni-baby-dresses-skirts,150,68,nameit
13167118,girl,ni-baby-dresses-skirts,150,74,nameit
13167118,girl,ni-baby-dresses-skirts,150,80,nameit
13167152,girl,ni-baby-dresses-skirts,160,50,nameit
13167152,girl,ni-baby-dresses-skirts,160,56,nameit
13167152,girl,ni-baby-dresses-skirts,160,62,nameit
13167152,girl,ni-baby-dresses-skirts,160,68,nameit
13167152,girl,ni-baby-dresses-skirts,160,74,nameit
13167152,girl,ni-baby-dresses-skirts,160,80,nameit
13167128,girl,ni-baby-dresses-skirts,230,50,nameit
13167128,girl,ni-baby-dresses-skirts,230,56,nameit
13167128,girl,ni-baby-dresses-skirts,230,62,nameit
13167128,girl,ni-baby-dresses-skirts,230,68,nameit
13167128,girl,ni-baby-dresses-skirts,230,74,nameit
13167128,girl,ni-baby-dresses-skirts,230,80,nameit
13167128,girl,ni-baby-dresses-skirts,230,86,nameit
13167152,girl,ni-baby-dresses-skirts,160,50,nameit
13167152,girl,ni-baby-dresses-skirts,160,56,nameit
13167152,girl,ni-baby-dresses-skirts,160,62,nameit
13167152,girl,ni-baby-dresses-skirts,160,68,nameit
13167152,girl,ni-baby-dresses-skirts,160,74,nameit
13167152,girl,ni-baby-dresses-skirts,160,80,nameit
13167152,girl,ni-baby-dresses-skirts,160,86,nameit
13164609,girl,ni-baby-dresses-skirts,500,50,nameit
13164609,girl,ni-baby-dresses-skirts,500,56,nameit
13164609,girl,ni-baby-dresses-skirts,500,62,nameit
13164617,girl,ni-baby-dresses-skirts,350,56,nameit
13164617,girl,ni-baby-dresses-skirts,350,62,nameit
13164617,girl,ni-baby-dresses-skirts,350,68,nameit
13164617,girl,ni-baby-dresses-skirts,350,74,nameit
13167143,girl,ni-baby-dresses-skirts,180,50,nameit
13167143,girl,ni-baby-dresses-skirts,180,56,nameit
13167143,girl,ni-baby-dresses-skirts,180,62,nameit
13167143,girl,ni-baby-dresses-skirts,180,68,nameit
13167143,girl,ni-baby-dresses-skirts,180,74,nameit
13167143,girl,ni-baby-dresses-skirts,180,80,nameit
13167533,girl,ni-baby-dresses-skirts,130,50,nameit
13167533,girl,ni-baby-dresses-skirts,130,56,nameit
13167533,girl,ni-baby-dresses-skirts,130,62,nameit
13167533,girl,ni-baby-dresses-skirts,130,68,nameit
13167533,girl,ni-baby-dresses-skirts,130,74,nameit
13167533,girl,ni-baby-dresses-skirts,130,80,nameit
13167533,girl,ni-baby-dresses-skirts,130,50,nameit
