article_no,gender,category,price,new_size,brand
144491,unisex,swimwear,305,7-8Y,The North Face
144491,unisex,swimwear,305,10-12Y,The North Face
144491,unisex,swimwear,305,14-16Y,The North Face
158330,unisex,swimwear,329,3Y,Soft Gallery
158330,unisex,swimwear,329,4Y,Soft Gallery
158330,unisex,swimwear,329,5Y,Soft Gallery
158330,unisex,swimwear,329,6Y,Soft Gallery
158330,unisex,swimwear,329,8Y,Soft Gallery
158330,unisex,swimwear,329,7Y,Soft Gallery
158326,unisex,swimwear,329,3Y,Soft Gallery
158326,unisex,swimwear,329,4Y,Soft Gallery
158326,unisex,swimwear,329,5Y,Soft Gallery
158326,unisex,swimwear,329,6Y,Soft Gallery
158326,unisex,swimwear,329,8Y,Soft Gallery
158326,unisex,swimwear,329,10Y,Soft Gallery
158326,unisex,swimwear,329,12Y,Soft Gallery
158326,unisex,swimwear,329,7Y,Soft Gallery
158305,unisex,swimwear,329,6M,Soft Gallery
158305,unisex,swimwear,329,12M,Soft Gallery
158305,unisex,swimwear,329,18M,Soft Gallery
158305,unisex,swimwear,329,24M,Soft Gallery
158305,unisex,swimwear,329,9M,Soft Gallery
153359,unisex,swimwear,105,104,Molo
153359,unisex,swimwear,105,116,Molo
153359,unisex,swimwear,105,128,Molo
153359,unisex,swimwear,105,140,Molo
153358,unisex,swimwear,105,104,Molo
153358,unisex,swimwear,105,116,Molo
153358,unisex,swimwear,105,128,Molo
153358,unisex,swimwear,105,140,Molo
134789,unisex,swimwear,469,6-12M,Sunuva
134789,unisex,swimwear,469,12-18M,Sunuva
141974,unisex,swimwear,685,10Y,Paul Smith Junior
141974,unisex,swimwear,685,12Y,Paul Smith Junior
141974,unisex,swimwear,685,14Y,Paul Smith Junior
141974,unisex,swimwear,685,16Y,Paul Smith Junior
141974,unisex,swimwear,685,2Y,Paul Smith Junior
141974,unisex,swimwear,685,3Y,Paul Smith Junior
141974,unisex,swimwear,685,4Y,Paul Smith Junior
141974,unisex,swimwear,685,5Y,Paul Smith Junior
141974,unisex,swimwear,685,6Y,Paul Smith Junior
141974,unisex,swimwear,685,8Y,Paul Smith Junior
137149,unisex,swimwear,505,4-5Y,Tommy Hilfiger
137149,unisex,swimwear,505,6-7Y,Tommy Hilfiger
137148,unisex,swimwear,469,4-5Y,Tommy Hilfiger
137148,unisex,swimwear,469,6-7Y,Tommy Hilfiger
137147,unisex,swimwear,469,4-5Y,Tommy Hilfiger
137147,unisex,swimwear,469,6-7Y,Tommy Hilfiger
137146,unisex,swimwear,505,4-5Y,Tommy Hilfiger
137146,unisex,swimwear,505,6-7Y,Tommy Hilfiger
137145,unisex,swimwear,399,4-5Y,Tommy Hilfiger
137145,unisex,swimwear,399,6-7Y,Tommy Hilfiger
137144,unisex,swimwear,469,4-5Y,Tommy Hilfiger
137144,unisex,swimwear,469,6-7Y,Tommy Hilfiger
137143,unisex,swimwear,469,4-5Y,Tommy Hilfiger
137143,unisex,swimwear,469,6-7Y,Tommy Hilfiger
137142,unisex,swimwear,469,4-5Y,Tommy Hilfiger
137142,unisex,swimwear,469,6-7Y,Tommy Hilfiger
137141,unisex,swimwear,469,4-5Y,Tommy Hilfiger
137141,unisex,swimwear,469,6-7Y,Tommy Hilfiger
137140,unisex,swimwear,399,4-5Y,Tommy Hilfiger
137140,unisex,swimwear,399,6-7Y,Tommy Hilfiger
137136,unisex,swimwear,505,8-10Y,Tommy Hilfiger
149386,unisex,swimwear,225,4-6M,Hummel
149386,unisex,swimwear,225,6-9M,Hummel
149386,unisex,swimwear,225,9-12M,Hummel
149386,unisex,swimwear,225,1-1.5Y,Hummel
149386,unisex,swimwear,225,1.5-2Y,Hummel
149386,unisex,swimwear,225,2-3Y,Hummel
134070,unisex,swimwear,605,12-14Y,Calvin Klein
134067,unisex,swimwear,505,8-10Y,Calvin Klein
134067,unisex,swimwear,505,10-12Y,Calvin Klein
134067,unisex,swimwear,505,12-14Y,Calvin Klein
134067,unisex,swimwear,505,14-16Y,Calvin Klein
134054,unisex,swimwear,469,8-10Y,Calvin Klein
134054,unisex,swimwear,469,10-12Y,Calvin Klein
134054,unisex,swimwear,469,12-14Y,Calvin Klein
134054,unisex,swimwear,469,14-16Y,Calvin Klein
134053,unisex,swimwear,469,14-16Y,Calvin Klein
134052,unisex,swimwear,469,8-10Y,Calvin Klein
134052,unisex,swimwear,469,12-14Y,Calvin Klein
134051,unisex,swimwear,505,10-12Y,Calvin Klein
134050,unisex,swimwear,505,8-10Y,Calvin Klein
134050,unisex,swimwear,505,10-12Y,Calvin Klein
134050,unisex,swimwear,505,12-14Y,Calvin Klein
134049,unisex,swimwear,505,8-10Y,Calvin Klein
134048,unisex,swimwear,505,8-10Y,Calvin Klein
134048,unisex,swimwear,505,10-12Y,Calvin Klein
134047,unisex,swimwear,505,8-10Y,Calvin Klein
134047,unisex,swimwear,505,10-12Y,Calvin Klein
134046,unisex,swimwear,505,14-16Y,Calvin Klein
134045,unisex,swimwear,505,8-10Y,Calvin Klein
134045,unisex,swimwear,505,10-12Y,Calvin Klein
134045,unisex,swimwear,505,12-14Y,Calvin Klein
134044,unisex,swimwear,469,8-10Y,Calvin Klein
134044,unisex,swimwear,469,10-12Y,Calvin Klein
134044,unisex,swimwear,469,12-14Y,Calvin Klein
134044,unisex,swimwear,469,14-16Y,Calvin Klein
137135,unisex,swimwear,539,10-12Y,Tommy Hilfiger
137135,unisex,swimwear,539,12-14Y,Tommy Hilfiger
137135,unisex,swimwear,539,14-16Y,Tommy Hilfiger
137131,unisex,swimwear,469,8-10Y,Tommy Hilfiger
137130,unisex,swimwear,505,8-10Y,Tommy Hilfiger
137130,unisex,swimwear,505,10-12Y,Tommy Hilfiger
137126,unisex,swimwear,469,8-10Y,Tommy Hilfiger
137126,unisex,swimwear,469,10-12Y,Tommy Hilfiger
143572,unisex,swimwear,159,92,Mini A Ture
143580,unisex,swimwear,159,92,Mini A Ture
143580,unisex,swimwear,159,104,Mini A Ture
143580,unisex,swimwear,159,128,Mini A Ture
143580,unisex,swimwear,159,140,Mini A Ture
