article_no,gender,category,price,size,brand
60408639,unisex,"Underkläder & Nattplagg
(292)",50,80,polarnopyret
60403995,unisex,"Underkläder & Nattplagg
(292)",90,116,polarnopyret
60403449,unisex,"Underkläder & Nattplagg
(292)",74,52-54,polarnopyret
60400294,unisex,"Underkläder & Nattplagg
(292)",50,28-30,polarnopyret
60408646,unisex,"Underkläder & Nattplagg
(292)",100,80,polarnopyret
60403330,unisex,"Underkläder & Nattplagg
(292)",100,74-80,polarnopyret
60408361,unisex,"Underkläder & Nattplagg
(292)",100,116,polarnopyret
60400497,unisex,"Underkläder & Nattplagg
(292)",200,146-152,polarnopyret
60408654,unisex,"Underkläder & Nattplagg
(292)",150,116,polarnopyret
60404002,unisex,"Underkläder & Nattplagg
(292)",124,122-128,polarnopyret
60403449,unisex,"Underkläder & Nattplagg
(292)",74,52-54,polarnopyret
60408568,unisex,"Underkläder & Nattplagg
(292)",50,80,polarnopyret
60384862,unisex,"Underkläder & Nattplagg
(292)",74,22-24,polarnopyret
60403332,unisex,"Underkläder & Nattplagg
(292)",90,110-116,polarnopyret
60408459,unisex,"Underkläder & Nattplagg
(292)",150,146-152,polarnopyret
60408647,unisex,"Underkläder & Nattplagg
(292)",174,146-152,polarnopyret
60404140,unisex,"Underkläder & Nattplagg
(292)",124,116,polarnopyret
60408524,unisex,"Underkläder & Nattplagg
(292)",124,116,polarnopyret
60408536,unisex,"Underkläder & Nattplagg
(292)",114,68,polarnopyret
60408460,unisex,"Underkläder & Nattplagg
(292)",150,146-152,polarnopyret
60408642,unisex,"Underkläder & Nattplagg
(292)",124,80,polarnopyret
60408448,unisex,"Underkläder & Nattplagg
(292)",150,152,polarnopyret
60403322,unisex,"Underkläder & Nattplagg
(292)",100,74-80,polarnopyret
60408577,unisex,"Underkläder & Nattplagg
(292)",124,80,polarnopyret
60408471,unisex,"Underkläder & Nattplagg
(292)",124,116,polarnopyret
60408227,unisex,"Underkläder & Nattplagg
(292)",200,116,polarnopyret
