article_no,gender,category,price,new_size,brand
23422850,boy,YTTERJACKOR,299,116 ,zara
23422850,boy,YTTERJACKOR,299,122 ,zara
23422850,boy,YTTERJACKOR,299,128 ,zara
23422850,boy,YTTERJACKOR,299,134 ,zara
23422850,boy,YTTERJACKOR,299,140 ,zara
23422850,boy,YTTERJACKOR,299,152 ,zara
23422850,boy,YTTERJACKOR,299,164 ,zara
12817669,boy,YTTERJACKOR,299,116 ,zara
12817669,boy,YTTERJACKOR,299,122 ,zara
12817669,boy,YTTERJACKOR,299,128 ,zara
12817669,boy,YTTERJACKOR,299,134 ,zara
12817669,boy,YTTERJACKOR,299,140 ,zara
12817669,boy,YTTERJACKOR,299,152 ,zara
12817669,boy,YTTERJACKOR,299,164 ,zara
12817237,boy,YTTERJACKOR,299,116 ,zara
12817237,boy,YTTERJACKOR,299,122 ,zara
12817237,boy,YTTERJACKOR,299,128 ,zara
12817237,boy,YTTERJACKOR,299,134 ,zara
12817237,boy,YTTERJACKOR,299,140 ,zara
12817237,boy,YTTERJACKOR,299,152 ,zara
12817237,boy,YTTERJACKOR,299,164 ,zara
23422848,boy,YTTERJACKOR,299,116 ,zara
23422848,boy,YTTERJACKOR,299,122 ,zara
23422848,boy,YTTERJACKOR,299,128 ,zara
23422848,boy,YTTERJACKOR,299,134 ,zara
23422848,boy,YTTERJACKOR,299,140 ,zara
23422848,boy,YTTERJACKOR,299,152 ,zara
23422848,boy,YTTERJACKOR,299,164 ,zara
20789875,boy,YTTERJACKOR,299,110 ,zara
20789875,boy,YTTERJACKOR,299,116 ,zara
20789875,boy,YTTERJACKOR,299,122 ,zara
20789875,boy,YTTERJACKOR,299,128 ,zara
20789875,boy,YTTERJACKOR,299,134 ,zara
20789875,boy,YTTERJACKOR,299,140 ,zara
20789875,boy,YTTERJACKOR,299,152 ,zara
20789875,boy,YTTERJACKOR,299,164 ,zara
12817674,boy,YTTERJACKOR,349,116 ,zara
12817674,boy,YTTERJACKOR,349,122 ,zara
12817674,boy,YTTERJACKOR,349,128 ,zara
12817674,boy,YTTERJACKOR,349,134 ,zara
12817674,boy,YTTERJACKOR,349,140 ,zara
12817674,boy,YTTERJACKOR,349,152 ,zara
12817674,boy,YTTERJACKOR,349,164 ,zara
22628030,boy,YTTERJACKOR,399,110 ,zara
22628030,boy,YTTERJACKOR,399,116 ,zara
22628030,boy,YTTERJACKOR,399,122 ,zara
22628030,boy,YTTERJACKOR,399,128 ,zara
22628030,boy,YTTERJACKOR,399,134 ,zara
22628030,boy,YTTERJACKOR,399,140 ,zara
22628030,boy,YTTERJACKOR,399,152 ,zara
