article_no,gender,category,price,new_size,brand
88836791,unisex,tops and bodies,89,44,Åhléns
88836791,unisex,tops and bodies,89,50,Åhléns
88836791,unisex,tops and bodies,89,56,Åhléns
88836791,unisex,tops and bodies,89,62,Åhléns
88836791,unisex,tops and bodies,89,68,Åhléns
90476745,unisex,tops and bodies,99,44,Minimarket
90476745,unisex,tops and bodies,99,50,Minimarket
90476745,unisex,tops and bodies,99,56,Minimarket
90476745,unisex,tops and bodies,99,62,Minimarket
90476745,unisex,tops and bodies,99,68,Minimarket
90376042,unisex,tops and bodies,179,44,Minimarket
90376042,unisex,tops and bodies,179,50,Minimarket
90376042,unisex,tops and bodies,179,56,Minimarket
90376042,unisex,tops and bodies,179,62,Minimarket
90376042,unisex,tops and bodies,179,68,Minimarket
90536262,unisex,tops and bodies,99,50,Minimarket
90536262,unisex,tops and bodies,99,62,Minimarket
90536262,unisex,tops and bodies,99,74,Minimarket
90536262,unisex,tops and bodies,99,86,Minimarket
90375916,unisex,tops and bodies,99,44,Minimarket
90375916,unisex,tops and bodies,99,50,Minimarket
90375916,unisex,tops and bodies,99,56,Minimarket
90375916,unisex,tops and bodies,99,62,Minimarket
90375916,unisex,tops and bodies,99,68,Minimarket
88836786,unisex,tops and bodies,89,44,Åhléns
88836786,unisex,tops and bodies,89,50,Åhléns
88836786,unisex,tops and bodies,89,56,Åhléns
88836786,unisex,tops and bodies,89,62,Åhléns
88836786,unisex,tops and bodies,89,68,Åhléns
44511574,unisex,tops and bodies,99,44,Åhléns
44511574,unisex,tops and bodies,99,50,Åhléns
44511574,unisex,tops and bodies,99,56,Åhléns
44511574,unisex,tops and bodies,99,62,Åhléns
44511574,unisex,tops and bodies,99,68,Åhléns
90473604,unisex,tops and bodies,99,44,Minimarket
90473604,unisex,tops and bodies,99,50,Minimarket
90473604,unisex,tops and bodies,99,56,Minimarket
90473604,unisex,tops and bodies,99,62,Minimarket
90473604,unisex,tops and bodies,99,68,Minimarket
90424711,unisex,tops and bodies,149,50,Minimarket
90424711,unisex,tops and bodies,149,62,Minimarket
90424711,unisex,tops and bodies,149,74,Minimarket
90424711,unisex,tops and bodies,149,86,Minimarket
44511525,unisex,tops and bodies,99,44,Åhléns
44511525,unisex,tops and bodies,99,50,Åhléns
44511525,unisex,tops and bodies,99,56,Åhléns
44511525,unisex,tops and bodies,99,62,Åhléns
44511525,unisex,tops and bodies,99,68,Åhléns
90375884,unisex,tops and bodies,99,44,Minimarket
90375884,unisex,tops and bodies,99,50,Minimarket
90375884,unisex,tops and bodies,99,56,Minimarket
90375884,unisex,tops and bodies,99,62,Minimarket
90375884,unisex,tops and bodies,99,68,Minimarket
90766054,unisex,tops and bodies,239,52,Tao&Friends
90766054,unisex,tops and bodies,239,62,Tao&Friends
90766054,unisex,tops and bodies,239,74,Tao&Friends
89183491,unisex,tops and bodies,99,44,Åhléns
89183491,unisex,tops and bodies,99,50,Åhléns
89183491,unisex,tops and bodies,99,56,Åhléns
89183491,unisex,tops and bodies,99,62,Åhléns
89183491,unisex,tops and bodies,99,68,Åhléns
89765391,unisex,tops and bodies,99,50,Åhléns
89765391,unisex,tops and bodies,99,62,Åhléns
89765391,unisex,tops and bodies,99,74,Åhléns
89765391,unisex,tops and bodies,99,86,Åhléns
44627750,unisex,tops and bodies,99,44,Åhléns
44627750,unisex,tops and bodies,99,50,Åhléns
