name,brand,gender,category,size,price,url,img_url,article_no
Stig Mini Multi Blue/sage/grey,Sandqvist,unisex,accessoarer,ONE SIZE,895 SEK,https://www.afound.com/sv-se/produkter/stig-mini-multi-bluesagegrey_h9744upl,https://www.afound.com/globalassets/1/kids/accessories/bags/505226_a08cdadf056c57d555a56be2f8df7c9c.jpg?preset=w100h100,1831483
Stig Mini Plum,Sandqvist,unisex,accessoarer,ONE SIZE,895 SEK,https://www.afound.com/sv-se/produkter/stig-mini-plum_vz63v0ri,https://www.afound.com/globalassets/1/kids/accessories/bags/505223_e27accca8d23ed93b4070c3a05b5d42b.jpg?preset=w100h100,1831495
Stig Mini Multi Sage/forest Green/grey,Sandqvist,unisex,accessoarer,ONE SIZE,895 SEK,https://www.afound.com/sv-se/produkter/stig-mini-multi-sageforest-greengrey_olj3kh6h,https://www.afound.com/globalassets/1/kids/accessories/bags/505228_20420d954219f08510f7d51728099ead.jpg?preset=w100h100,1831507
Southwest Kids 2     Navy,Didriksons,unisex,accessoarer,54 FÅ KVAR!,149 SEK,https://www.afound.com/sv-se/produkter/southwest-kids-2-navy_iqb9jsjz,https://www.afound.com/globalassets/1/kids/accessories/hats/484877_a0d69606963482818261d6e98919f64c.jpg?preset=w100h100,1896392
Southwest Kids 2     Navy,Didriksons,unisex,accessoarer,56,149 SEK,https://www.afound.com/sv-se/produkter/southwest-kids-2-navy_iqb9jsjz,https://www.afound.com/globalassets/1/kids/accessories/hats/484877_a0d69606963482818261d6e98919f64c.jpg?preset=w100h100,1896392
Pileglove Kids 2     Navy,Didriksons,unisex,accessoarer,0Y,149 SEK,https://www.afound.com/sv-se/produkter/pileglove-kids-2-navy_jukg54zu,https://www.afound.com/globalassets/1/kids/accessories/gloves/484872_4110557b10ee8399a1c230bf0cfa6ab1.jpg?preset=w100h100,1896373
Pileglove Kids 2     Navy,Didriksons,unisex,accessoarer,2Y,149 SEK,https://www.afound.com/sv-se/produkter/pileglove-kids-2-navy_jukg54zu,https://www.afound.com/globalassets/1/kids/accessories/gloves/484872_4110557b10ee8399a1c230bf0cfa6ab1.jpg?preset=w100h100,1896373
Pileglove Kids 2     Navy,Didriksons,unisex,accessoarer,4Y,149 SEK,https://www.afound.com/sv-se/produkter/pileglove-kids-2-navy_jukg54zu,https://www.afound.com/globalassets/1/kids/accessories/gloves/484872_4110557b10ee8399a1c230bf0cfa6ab1.jpg?preset=w100h100,1896373
Pileglove Kids 2     Dusty Oliv,Didriksons,unisex,accessoarer,0Y,149 SEK,https://www.afound.com/sv-se/produkter/pileglove-kids-2-dusty-oliv_20aa7lmn,https://www.afound.com/globalassets/1/kids/accessories/gloves/484872_4110557b10ee8399a1c230bf0cfa6ab1.jpg?preset=w100h100,1896365
Pileglove Kids 2     Dusty Oliv,Didriksons,unisex,accessoarer,2Y,149 SEK,https://www.afound.com/sv-se/produkter/pileglove-kids-2-dusty-oliv_20aa7lmn,https://www.afound.com/globalassets/1/kids/accessories/gloves/484872_4110557b10ee8399a1c230bf0cfa6ab1.jpg?preset=w100h100,1896365
Pileglove Kids 2     Dusty Oliv,Didriksons,unisex,accessoarer,4Y,149 SEK,https://www.afound.com/sv-se/produkter/pileglove-kids-2-dusty-oliv_20aa7lmn,https://www.afound.com/globalassets/1/kids/accessories/gloves/484872_4110557b10ee8399a1c230bf0cfa6ab1.jpg?preset=w100h100,1896365
Pileglove Kids 2     Dusty Oliv,Didriksons,unisex,accessoarer,6Y,149 SEK,https://www.afound.com/sv-se/produkter/pileglove-kids-2-dusty-oliv_20aa7lmn,https://www.afound.com/globalassets/1/kids/accessories/gloves/484872_4110557b10ee8399a1c230bf0cfa6ab1.jpg?preset=w100h100,1896365
Southwest Kids 2     Dusty Oliv,Didriksons,unisex,accessoarer,52,149 SEK,https://www.afound.com/sv-se/produkter/southwest-kids-2-dusty-oliv_dqh48c0o,https://www.afound.com/globalassets/1/kids/accessories/hats/484877_a0d69606963482818261d6e98919f64c.jpg?preset=w100h100,1896385
Southwest Kids 2     Dusty Oliv,Didriksons,unisex,accessoarer,54,149 SEK,https://www.afound.com/sv-se/produkter/southwest-kids-2-dusty-oliv_dqh48c0o,https://www.afound.com/globalassets/1/kids/accessories/hats/484877_a0d69606963482818261d6e98919f64c.jpg?preset=w100h100,1896385
Southwest Kids 2     Dusty Oliv,Didriksons,unisex,accessoarer,56,149 SEK,https://www.afound.com/sv-se/produkter/southwest-kids-2-dusty-oliv_dqh48c0o,https://www.afound.com/globalassets/1/kids/accessories/hats/484877_a0d69606963482818261d6e98919f64c.jpg?preset=w100h100,1896385
Tête Marine,Absorba,unisex,accessoarer,0-1M,99 SEK,https://www.afound.com/sv-se/produkter/tête-marine_erf2s5qw,https://www.afound.com/globalassets/1/kids/accessories/hats/503604_2c723f3fd15ef68e78c73dac682fdf3b.jpg?preset=w100h100,1958238
Topline Navyd.blue,Geggamoja,unisex,accessoarer,0-2M FÅ KVAR!,199 SEK,https://www.afound.com/sv-se/produkter/topline-navydblue_nngu4vfv,https://www.afound.com/globalassets/1/kids/accessories/hats/149201_fc4c90ba8480152fb67e9982bb1129bf.jpg?preset=w100h100,779616
Topline Navyd.blue,Geggamoja,unisex,accessoarer,2-6M FÅ KVAR!,199 SEK,https://www.afound.com/sv-se/produkter/topline-navydblue_nngu4vfv,https://www.afound.com/globalassets/1/kids/accessories/hats/149201_fc4c90ba8480152fb67e9982bb1129bf.jpg?preset=w100h100,779616
Stig Mini Multi Blue/sage/grey,Sandqvist,unisex,accessoarer,ONE SIZE,895 SEK,https://www.afound.com/sv-se/produkter/stig-mini-multi-bluesagegrey_h9744upl,https://www.afound.com/globalassets/1/kids/accessories/bags/505226_a08cdadf056c57d555a56be2f8df7c9c.jpg?preset=w100h100,1831483
Stig Mini Plum,Sandqvist,unisex,accessoarer,ONE SIZE,895 SEK,https://www.afound.com/sv-se/produkter/stig-mini-plum_vz63v0ri,https://www.afound.com/globalassets/1/kids/accessories/bags/505223_e27accca8d23ed93b4070c3a05b5d42b.jpg?preset=w100h100,1831495
