name,brand,gender,category,size,price,color,composition,url,img_url,article_no,blob_url
Glänsande offshoulder-klänning,bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",79kr,roséguld,"Yttermaterial: 95% polyester, 5% elastan, Foder: 100% polyester",https://www.bonprix.se/produkt/glaensande-offshoulder-klaenning-roseguld-903529/#image,https://image01.bonprix.se/assets/460x644/1545125429/18351557-CjCIb54c.jpg,90352981
Glänsande offshoulder-klänning,bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",79kr,roséguld,"Yttermaterial: 95% polyester, 5% elastan, Foder: 100% polyester",https://www.bonprix.se/produkt/glaensande-offshoulder-klaenning-roseguld-903529/#image,https://image01.bonprix.se/assets/460x644/1545125429/18351557-CjCIb54c.jpg,90352981
Glänsande offshoulder-klänning,bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",79kr,roséguld,"Yttermaterial: 95% polyester, 5% elastan, Foder: 100% polyester",https://www.bonprix.se/produkt/glaensande-offshoulder-klaenning-roseguld-903529/#image,https://image01.bonprix.se/assets/460x644/1545125429/18351557-CjCIb54c.jpg,90352981
Glänsande offshoulder-klänning,bpc bonprix collection,girl,Dresses,"
Storlek164/170
	                ",79kr,roséguld,"Yttermaterial: 95% polyester, 5% elastan, Foder: 100% polyester",https://www.bonprix.se/produkt/glaensande-offshoulder-klaenning-roseguld-903529/#image,https://image01.bonprix.se/assets/460x644/1545125429/18351557-CjCIb54c.jpg,90352981
Trikåklänning med paljettdekoration,bpc bonprix collection,girl,Dresses,"
Storlek116/122
	                ",59kr,ljusgråmelerad,"85% bomull, 5% elastan, 10% polyester",https://www.bonprix.se/produkt/trikaklaenning-med-paljettdekoration-ljusgramelerad-912682/#image,https://image01.bonprix.se/assets/460x644/1536237814/16269397-S4O9rQaq.jpg,91268281
Trikåklänning med paljettdekoration,bpc bonprix collection,girl,Dresses,"
Storlek128/134
	                ",59kr,ljusgråmelerad,"85% bomull, 5% elastan, 10% polyester",https://www.bonprix.se/produkt/trikaklaenning-med-paljettdekoration-ljusgramelerad-912682/#image,https://image01.bonprix.se/assets/460x644/1536237814/16269397-S4O9rQaq.jpg,91268281
Trikåklänning med paljettdekoration,bpc bonprix collection,girl,Dresses,"
Storlek140/146
	                ",59kr,ljusgråmelerad,"85% bomull, 5% elastan, 10% polyester",https://www.bonprix.se/produkt/trikaklaenning-med-paljettdekoration-ljusgramelerad-912682/#image,https://image01.bonprix.se/assets/460x644/1536237814/16269397-S4O9rQaq.jpg,91268281
Trikåklänning med paljettdekoration,bpc bonprix collection,girl,Dresses,"
Storlek152/158
	                ",59kr,ljusgråmelerad,"85% bomull, 5% elastan, 10% polyester",https://www.bonprix.se/produkt/trikaklaenning-med-paljettdekoration-ljusgramelerad-912682/#image,https://image01.bonprix.se/assets/460x644/1536237814/16269397-S4O9rQaq.jpg,91268281
Trikåklänning med paljettdekoration,bpc bonprix collection,girl,Dresses,"
Storlek164/170
	                ",59kr,ljusgråmelerad,"85% bomull, 5% elastan, 10% polyester",https://www.bonprix.se/produkt/trikaklaenning-med-paljettdekoration-ljusgramelerad-912682/#image,https://image01.bonprix.se/assets/460x644/1536237814/16269397-S4O9rQaq.jpg,91268281
Trikåklänning med paljettdekoration,bpc bonprix collection,girl,Dresses,"
Storlek176/182
	                ",59kr,ljusgråmelerad,"85% bomull, 5% elastan, 10% polyester",https://www.bonprix.se/produkt/trikaklaenning-med-paljettdekoration-ljusgramelerad-912682/#image,https://image01.bonprix.se/assets/460x644/1536237814/16269397-S4O9rQaq.jpg,91268281
Festklänning,bpc bonprix collection,girl,Dresses,"
Storlek128
	                ",139kr,vit/silver,"Yttermaterial: 100% polyester, Foder: 100% bomull, Applikation: 100% polyester",https://www.bonprix.se/produkt/festklaenning-vit-silver-910685/#image,https://image01.bonprix.se/assets/460x644/1544423533/18355595-SDFRmCBZ.jpg,91068581
Festklänning,bpc bonprix collection,girl,Dresses,"
Storlek134
	                ",139kr,vit/silver,"Yttermaterial: 100% polyester, Foder: 100% bomull, Applikation: 100% polyester",https://www.bonprix.se/produkt/festklaenning-vit-silver-910685/#image,https://image01.bonprix.se/assets/460x644/1544423533/18355595-SDFRmCBZ.jpg,91068581
