name,brand,gender,category,size,price,color,url,img_url,article_no
"Babyset Teddy 5 delar, Pink",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,50,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/babyset-teddy-5-delar-p46611322-62114086,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image150/babyset_teddy_5_delar-46611322-62114086-org.jpg,46611322
"Babyset Teddy 5 delar, Pink",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,56,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/babyset-teddy-5-delar-p46611322-62114086,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image150/babyset_teddy_5_delar-46611322-62114086-org.jpg,46611322
"Babyset Teddy 5 delar, Pink",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/babyset-teddy-5-delar-p46611322-62114086,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image150/babyset_teddy_5_delar-46611322-62114086-org.jpg,46611322
"Babyset Teddy 5 delar, Pink",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,68,"119 kr

        449 kr","
Rosa			",https://cdon.se/klader/babyset-teddy-5-delar-p46611322-62114086,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image150/babyset_teddy_5_delar-46611322-62114086-org.jpg,46611322
"Set Tiger med body och byxor, Dark grey",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/set-tiger-med-body-och-byxor-p46715397-62114076,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image362/set_tiger_med_body_och_byxor-46715397-62114076-org.jpg,46715397
"Set Tiger med body och byxor, Dark grey",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,80,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/set-tiger-med-body-och-byxor-p46715397-62114076,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image362/set_tiger_med_body_och_byxor-46715397-62114076-org.jpg,46715397
"Set Tiger med body och byxor, Dark grey",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,86,"119 kr

        449 kr","
Grå			",https://cdon.se/klader/set-tiger-med-body-och-byxor-p46715397-62114076,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image362/set_tiger_med_body_och_byxor-46715397-62114076-org.jpg,46715397
"Babyset Teddy 5 delar, Blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/babyset-teddy-5-delar-p46611322-62114085,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image636/babyset_teddy_5_delar-46611322-62114085-org.jpg,46611322
"Body Dino, Blue patterned",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-dino-p46536745-62114063,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image988/body_dino-46536745-62114063-org.jpg,46536745
"Body Dino, Blue patterned",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Blå			",https://cdon.se/klader/body-dino-p46536745-62114063,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image988/body_dino-46536745-62114063-org.jpg,46536745
"Body + byxor Dino, White + blue",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Vit			",https://cdon.se/klader/body-byxor-dino-p46536744-62114062,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image276/body__byxor_dino-46536744-62114062-org.jpg,46536744
"Body i ekologisk bomull, Green",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,62,"119 kr

        449 kr","
Grön			",https://cdon.se/klader/body-i-ekologisk-bomull-p47458498-62621759,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image267/body_i_ekologisk_bomull-47458498-62621759-org.jpg,47458498
"Body i ekologisk bomull, Green",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,68,"119 kr

        449 kr","
Grön			",https://cdon.se/klader/body-i-ekologisk-bomull-p47458498-62621759,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image267/body_i_ekologisk_bomull-47458498-62621759-org.jpg,47458498
"Body i ekologisk bomull, Green",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,74,"119 kr

        449 kr","
Grön			",https://cdon.se/klader/body-i-ekologisk-bomull-p47458498-62621759,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image267/body_i_ekologisk_bomull-47458498-62621759-org.jpg,47458498
"Body i ekologisk bomull, Green",Ellos Kids,"
Barn			",BODIES & SPARKDRÄKTER,80,"119 kr

        449 kr","
Grön			",https://cdon.se/klader/body-i-ekologisk-bomull-p47458498-62621759,https://cdn.cdon.com/media-dynamic/images/product/clothing/clothing/image267/body_i_ekologisk_bomull-47458498-62621759-org.jpg,47458498
