name,brand,gender,category,size,price,url,img_url,article_no,blob_url
ESSENTIAL SCANTON SLIM,Tommy Hilfiger,boy,BYXOR,10 år,"
599 SEK749 SEK ",https://kidsbrandstore.se/tommy-hilfiger-essential-scanton-slim-35919,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/tommy-hilfiger_byxor_bla_barnklader_35919-gnxv.jpg,product-entry-id-35919,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35919
ESSENTIAL SCANTON SLIM,Tommy Hilfiger,boy,BYXOR,12 år,"
599 SEK749 SEK ",https://kidsbrandstore.se/tommy-hilfiger-essential-scanton-slim-35919,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/tommy-hilfiger_byxor_bla_barnklader_35919-gnxv.jpg,product-entry-id-35919,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35919
ESSENTIAL SCANTON SLIM,Tommy Hilfiger,boy,BYXOR,14 år,"
599 SEK749 SEK ",https://kidsbrandstore.se/tommy-hilfiger-essential-scanton-slim-35919,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/tommy-hilfiger_byxor_bla_barnklader_35919-gnxv.jpg,product-entry-id-35919,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35919
ESSENTIAL SCANTON SLIM,Tommy Hilfiger,boy,BYXOR,16 år,"
599 SEK749 SEK ",https://kidsbrandstore.se/tommy-hilfiger-essential-scanton-slim-35919,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/tommy-hilfiger_byxor_bla_barnklader_35919-gnxv.jpg,product-entry-id-35919,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35919
EU COTTON FLEECE JOGGER,Under Armour,boy,BYXOR,S,"
319 SEK399 SEK ",https://kidsbrandstore.se/under-armour-eu-cotton-fleece-jogger-34729,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/under-armour_byxor_svart_barnklader_34729-944k.jpg,product-entry-id-34729,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34729
EU COTTON FLEECE JOGGER,Under Armour,boy,BYXOR,M,"
319 SEK399 SEK ",https://kidsbrandstore.se/under-armour-eu-cotton-fleece-jogger-34729,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/under-armour_byxor_svart_barnklader_34729-944k.jpg,product-entry-id-34729,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34729
EU COTTON FLEECE JOGGER,Under Armour,boy,BYXOR,L,"
319 SEK399 SEK ",https://kidsbrandstore.se/under-armour-eu-cotton-fleece-jogger-34729,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/under-armour_byxor_svart_barnklader_34729-944k.jpg,product-entry-id-34729,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34729
EU COTTON FLEECE JOGGER,Under Armour,boy,BYXOR,XL,"
319 SEK399 SEK ",https://kidsbrandstore.se/under-armour-eu-cotton-fleece-jogger-34729,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/under-armour_byxor_svart_barnklader_34729-944k.jpg,product-entry-id-34729,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34729
PROTOTYPE PANT,Under Armour,boy,BYXOR,S,"
319 SEK399 SEK ",https://kidsbrandstore.se/under-armour-prototype-pant-34691,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/under-armour_byxor_svart_barnklader_34691-rb-h.jpg,product-entry-id-34691,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34691
PROTOTYPE PANT,Under Armour,boy,BYXOR,M,"
319 SEK399 SEK ",https://kidsbrandstore.se/under-armour-prototype-pant-34691,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/under-armour_byxor_svart_barnklader_34691-rb-h.jpg,product-entry-id-34691,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34691
PROTOTYPE PANT,Under Armour,boy,BYXOR,L,"
319 SEK399 SEK ",https://kidsbrandstore.se/under-armour-prototype-pant-34691,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/under-armour_byxor_svart_barnklader_34691-rb-h.jpg,product-entry-id-34691,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34691
PROTOTYPE PANT,Under Armour,boy,BYXOR,XL,"
319 SEK399 SEK ",https://kidsbrandstore.se/under-armour-prototype-pant-34691,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/under-armour_byxor_svart_barnklader_34691-rb-h.jpg,product-entry-id-34691,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34691
Pants,Replay,boy,BYXOR,10 år,"
959 SEK1 199 SEK ",https://kidsbrandstore.se/replay-pants-37525,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/replay_byxor_svart_barnklader_37525-27se.jpg,product-entry-id-37525,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-37525
Pants,Replay,boy,BYXOR,12 år,"
959 SEK1 199 SEK ",https://kidsbrandstore.se/replay-pants-37525,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/replay_byxor_svart_barnklader_37525-27se.jpg,product-entry-id-37525,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-37525
Pants,Replay,boy,BYXOR,14 år,"
959 SEK1 199 SEK ",https://kidsbrandstore.se/replay-pants-37525,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/replay_byxor_svart_barnklader_37525-27se.jpg,product-entry-id-37525,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-37525
Pants,Replay,boy,BYXOR,16 år,"
959 SEK1 199 SEK ",https://kidsbrandstore.se/replay-pants-37525,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/replay_byxor_svart_barnklader_37525-27se.jpg,product-entry-id-37525,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-37525
Pants,Replay,boy,BYXOR,10 år,"
799 SEK999 SEK ",https://kidsbrandstore.se/replay-pants-37524,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/replay_byxor_gra_barnklader_37524-2t3l.jpg,product-entry-id-37524,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-37524
Pants,Replay,boy,BYXOR,12 år,"
799 SEK999 SEK ",https://kidsbrandstore.se/replay-pants-37524,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/replay_byxor_gra_barnklader_37524-2t3l.jpg,product-entry-id-37524,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-37524
Pants,Replay,boy,BYXOR,14 år,"
799 SEK999 SEK ",https://kidsbrandstore.se/replay-pants-37524,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/replay_byxor_gra_barnklader_37524-2t3l.jpg,product-entry-id-37524,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-37524
Pants,Replay,boy,BYXOR,16 år,"
799 SEK999 SEK ",https://kidsbrandstore.se/replay-pants-37524,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/replay_byxor_gra_barnklader_37524-2t3l.jpg,product-entry-id-37524,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-37524
JR ORIG PA,Peak Performance,boy,BYXOR,130 cm,"
439 SEK549 SEK ",https://kidsbrandstore.se/peak-performance-jr-orig-pa-36585,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/peak-performance_byxor_gra_barnklader_36585-992h.jpg,product-entry-id-36585,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-36585
