name,brand,gender,category,size,price,composition,color,url,img_url,article_no
T-shirt med tryck baby turkos,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",80,50 kr 99 kr,"95% Bomull, 5% Elastan",Turkos,https://www.polarnopyret.se/barnklader/overdelar/t-shirts-linnen/t-shirt-med-tryck-baby-turkos-60408639-815,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853830547.jpg?ref=E23BD844B6&w=960&h=960&mode=max,60408639
Enfärgade leggings rosa,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",116,90 kr 179 kr,"95% Bomull, 5% Elastan",Rosa,https://www.polarnopyret.se/barnklader/underdelar/leggings/enfargade-leggings-rosa-60403995-845,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853668157.jpg?ref=37CAD4411F&w=960&h=960&mode=max,60403995
Keps med p- applikation rosa,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",52 54,74 kr 149 kr,100% Bomull,Rosa,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/kepsar/keps-med-p-applikation-rosa-60403449-845,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853750494.jpg?ref=4E4EEF21B8&w=960&h=960&mode=max,60403449
2-pack strumpor med halkskydd blå,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",28 30,50 kr 99 kr,"82% Bomull, 16% Polyamid, 2% Elastan",Blå,https://www.polarnopyret.se/barnklader/kampanjer/sommarrea/2-pack-strumpor-med-halkskydd-bla-60400294-827,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853552463.jpg?ref=19035E6AF2&w=960&h=960&mode=max,60400294
Randig pikétröja baby ljusblå,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",80,100 kr 199 kr,100% Bomull,Ljusblå,https://www.polarnopyret.se/barnklader/kollektioner/festklader/randig-piketroja-baby-ljusbla-60408646-759,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853838819.jpg?ref=5DB2FD7763&w=960&h=960&mode=max,60408646
Badblöja med undervattenstryck baby rosa,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",74 80,100 kr 199 kr,"78% Polyamid, 22% Elastan",Rosa,https://www.polarnopyret.se/barnklader/badklader/badbyxor/badbloja-med-undervattenstryck-baby-rosa-60403330-845,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853641259.jpg?ref=0BD391E0B8&w=960&h=960&mode=max,60403330
Enfärgade shorts mörkblå,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",116,100 kr 199 kr,100% Bomull,Mörkblå,https://www.polarnopyret.se/barnklader/underdelar/shorts/enfargade-shorts-morkbla-60408361-829,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853819023.jpg?ref=0B7E8C7461&w=960&h=960&mode=max,60408361
Sweatshirt med slangbellor orange,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",146 152,200 kr 399 kr,100% Bomull,Orange,https://www.polarnopyret.se/barnklader/kampanjer/sommarrea/sweatshirt-med-slangbellor-orange-60400497-574,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853563773.jpg?ref=EDD08178B2&w=960&h=960&mode=max,60400497
T-shirt med avtagbara masker blå,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",116,150 kr 299 kr,100% Bomull,Blå,https://www.polarnopyret.se/barnklader/overdelar/t-shirts-linnen/t-shirt-med-avtagbara-masker-bla-60408654-827,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853831179_2.jpg?ref=3643C64171&w=960&h=960&mode=max,60408654
T-shirt med textbrodyr och applikation beige,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",122 128,124 kr 249 kr,100% Bomull,Beige,https://www.polarnopyret.se/barnklader/overdelar/t-shirts-linnen/t-shirt-med-textbrodyr-och-applikation-beige-60404002-317,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853668713.jpg?ref=3E04BB1112&w=960&h=960&mode=max,60404002
Keps med p- applikation mörk marinblå,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",52 54,74 kr 149 kr,100% Bomull,Mörk marinblå,https://www.polarnopyret.se/barnklader/accessoarer-ovrigt/kepsar/keps-med-p-applikation-mork-marinbla-60403449-483,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853646841.jpg?ref=0F2AD6433F&w=960&h=960&mode=max,60403449
Korta leggings baby mörkblå,polarnopyret,unisex,"Underkläder & Nattplagg
(292)",80,50 kr 99 kr,"95% Bomull, 5% Elastan",Mörkblå,https://www.polarnopyret.se/barnklader/underdelar/leggings/korta-leggings-baby-morkbla-60408568-655,https://www.polarnopyret.se/globalassets/productimages-polarnopyret/7325853828766.jpg?ref=6751CF15A4&w=960&h=960&mode=max,60408568
