name,brand,gender,category,size,price,composition,color,url,img_url,article_no,blob_url
Badshorts med tryck,H&M,boy,badbyxor,134-170,"149,00 kr.",Polyester 100%,Grå/Venice,https://www2.hm.com/sv_se/productpage.0497664001.html,"https://lp2.hm.com/hmgoepprod?set=source[/46/e6/46e6168819081e0258a3a7274ebc453826b4c959.jpg],origin[dam],category[kids_boys14y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]+",0497664001,https://storage.googleapis.com/urbankiddo/H%26M/0497664001
Badshorts med tryck,H&M,boy,badbyxor,134-170,"149,00 kr.",Polyester 100%,Blå/Palmer,https://www2.hm.com/sv_se/productpage.0497664004.html,"https://lp2.hm.com/hmgoepprod?set=source[/2c/1e/2c1ef76403f9d12a8e3ea5e50cbfa09a7654a9da.jpg],origin[dam],category[kids_boys14y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[3]&call=url[file:/product/main]+",0497664004,https://storage.googleapis.com/urbankiddo/H%26M/0497664004
Badshorts med tryck,H&M,boy,badbyxor,134-170,"49,90 kr.",Polyester 100%,Svart/Gråmönstrad,https://www2.hm.com/sv_se/productpage.0497664006.html,"https://lp2.hm.com/hmgoepprod?set=source[/27/c5/27c5690ebaa1ba2bd7ba906484f022bfddd0718a.jpg],origin[dam],category[kids_boys14y_swimwear],type[DESCRIPTIVESTILLLIFE],hmver[2]&call=url[file:/product/main]+",0497664006,https://storage.googleapis.com/urbankiddo/H%26M/0497664006
Badshorts med tryck,H&M,boy,badbyxor,134-170,"69,90 kr.",Polyester 100%,Blå/Hajar,https://www2.hm.com/sv_se/productpage.0497664007.html,"https://lp2.hm.com/hmgoepprod?set=source[/f1/91/f191aa40d8154cd3e0332dcecda1aaa8f00bb5df.jpg],origin[dam],category[kids_boys14y_swimwear],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0497664007,https://storage.googleapis.com/urbankiddo/H%26M/0497664007
Badshorts med tryck,H&M,boy,badbyxor,134-170,"79,90 kr.",Foder: Polyester 100%,Svart/Stjärnor,https://www2.hm.com/sv_se/productpage.0497664010.html,"https://lp2.hm.com/hmgoepprod?set=source[/c5/0d/c50d14a5134549985b85ef0a26f6292d9dbc9896.jpg],origin[dam],category[kids_boys14y_swimwear],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0497664010,https://storage.googleapis.com/urbankiddo/H%26M/0497664010
Badshorts med tryck,H&M,boy,badbyxor,134-170,"69,90 kr.",Foder: Polyester 100%,Svart/Palmer,https://www2.hm.com/sv_se/productpage.0497664011.html,"https://lp2.hm.com/hmgoepprod?set=source[/17/3a/173a0bce2e355e5f639c5b25c07104a09b3a9804.jpg],origin[dam],category[kids_boys14y_swimwear],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0497664011,https://storage.googleapis.com/urbankiddo/H%26M/0497664011
Badshorts med tryck,H&M,boy,badbyxor,134-170,"79,90 kr.",Polyester 100%,Svart/Filmrulle,https://www2.hm.com/sv_se/productpage.0497664016.html,"https://lp2.hm.com/hmgoepprod?set=source[/78/29/7829fbf58248e90d0f4ab021531c4626f9411041.jpg],origin[dam],category[kids_boys14y_swimwear],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0497664016,https://storage.googleapis.com/urbankiddo/H%26M/0497664016
Badshorts med tryck,H&M,boy,badbyxor,134-170,"79,90 kr.",Foder: Polyester 100%,Blå/Hajar,https://www2.hm.com/sv_se/productpage.0497664017.html,"https://lp2.hm.com/hmgoepprod?set=source[/56/10/5610d4dd2f24bf113f33de7b13313aae7451e3e9.jpg],origin[dam],category[kids_boys14y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0497664017,https://storage.googleapis.com/urbankiddo/H%26M/0497664017
Badshorts med tryck,H&M,boy,badbyxor,134-170,"79,90 kr.",Foder: Polyester 100%,Blå/Palmer,https://www2.hm.com/sv_se/productpage.0497664019.html,"https://lp2.hm.com/hmgoepprod?set=source[/81/a8/81a8132ab4ce6be06d6dec824800b42b4ae46c7c.jpg],origin[dam],category[kids_boys14y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0497664019,https://storage.googleapis.com/urbankiddo/H%26M/0497664019
Badshorts med tryck,H&M,boy,badbyxor,134-170,"69,90 kr.",Foder: Polyester 100%,Svart/Vitrutig,https://www2.hm.com/sv_se/productpage.0497664022.html,"https://lp2.hm.com/hmgoepprod?set=source[/21/ac/21ac155c05c2f0a239f7f1a6283fe2bc5e167d5c.jpg],origin[dam],category[kids_boys14y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]+",0497664022,https://storage.googleapis.com/urbankiddo/H%26M/0497664022
