name,brand,gender,category,size,price,composition,color,url,img_url,article_no,blob_url
Baddräkt med tryck,H&M,girl,baddräkt,92-140,"129,00 kr.",Foder: Polyester 100%,Mörkblå/Enhörning,https://www2.hm.com/sv_se/productpage.0768480001.html,"https://lp2.hm.com/hmgoepprod?set=source[/fe/dd/fedd04cdf90b0d36e870a0280ce1e5dcd34191e1.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0768480001,https://storage.googleapis.com/urbankiddo/H%26M/0768480001
Skimrande volangbaddräkt,H&M,girl,baddräkt,92-140,"149,00 kr.",Foder: Polyester 100%,Rosa,https://www2.hm.com/sv_se/productpage.0775855001.html,"https://lp2.hm.com/hmgoepprod?set=source[/ad/fb/adfb88d39cddefcb65cff7d76666ceab9a67cc12.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0775855001,https://storage.googleapis.com/urbankiddo/H%26M/0775855001
Glittrig volangbaddräkt,H&M,girl,baddräkt,92-140,"149,00 kr.","Volang: Polyester 83%, Elastan 17%",Ljusrosa/Frost,https://www2.hm.com/sv_se/productpage.0749077001.html,"https://lp2.hm.com/hmgoepprod?set=source[/79/4a/794ab731b5223fbf87e6a8b5e2b8fafff02d18c0.jpg],origin[dam],category[kids_girl8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0749077001,https://storage.googleapis.com/urbankiddo/H%26M/0749077001
Benvärmare,H&M,girl,benvärmare,92-140,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Ljus gråmelerad,https://www2.hm.com/sv_se/productpage.0705467003.html,"https://lp2.hm.com/hmgoepprod?set=source[/7b/40/7b40995883a6a9803f37eec98af75d9022ed91d5.jpg],origin[dam],category[kids_girl8y_sockstights],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0705467003,https://storage.googleapis.com/urbankiddo/H%26M/0705467003
Benvärmare,H&M,girl,benvärmare,92-140,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Mörkgrå,https://www2.hm.com/sv_se/productpage.0705467001.html,"https://lp2.hm.com/hmgoepprod?set=source[/da/5a/da5a2375f3b02669f5091f23174d0a8325ee498e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0705467001,https://storage.googleapis.com/urbankiddo/H%26M/0705467001
Benvärmare,H&M,girl,benvärmare,92-140,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Ljusrosa,https://www2.hm.com/sv_se/productpage.0705467002.html,"https://lp2.hm.com/hmgoepprod?set=source[/9c/19/9c193fba2c9d5df3d01ed2da1bbedf43f7722c7d.jpg],origin[dam],category[kids_boy8y_topstshirts_longsleeves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0705467002,https://storage.googleapis.com/urbankiddo/H%26M/0705467002
Benvärmare,H&M,girl,benvärmare,92-140,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Ljus gråmelerad,https://www2.hm.com/sv_se/productpage.0705467003.html,"https://lp2.hm.com/hmgoepprod?set=source[/7b/40/7b40995883a6a9803f37eec98af75d9022ed91d5.jpg],origin[dam],category[kids_girl8y_sockstights],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0705467003,https://storage.googleapis.com/urbankiddo/H%26M/0705467003
Benvärmare,H&M,girl,benvärmare,92-140,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Mörkgrå,https://www2.hm.com/sv_se/productpage.0705467001.html,"https://lp2.hm.com/hmgoepprod?set=source[/da/5a/da5a2375f3b02669f5091f23174d0a8325ee498e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0705467001,https://storage.googleapis.com/urbankiddo/H%26M/0705467001
Benvärmare,H&M,girl,benvärmare,92-140,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Ljusrosa,https://www2.hm.com/sv_se/productpage.0705467002.html,"https://lp2.hm.com/hmgoepprod?set=source[/9c/19/9c193fba2c9d5df3d01ed2da1bbedf43f7722c7d.jpg],origin[dam],category[kids_boy8y_topstshirts_longsleeves],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0705467002,https://storage.googleapis.com/urbankiddo/H%26M/0705467002
Benvärmare,H&M,girl,benvärmare,92-140,"79,90 kr.","Akryl 83%, Polyamid 16%, Polyester 1%",Ljus gråmelerad,https://www2.hm.com/sv_se/productpage.0705467003.html,"https://lp2.hm.com/hmgoepprod?set=source[/7b/40/7b40995883a6a9803f37eec98af75d9022ed91d5.jpg],origin[dam],category[kids_girl8y_sockstights],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0705467003,https://storage.googleapis.com/urbankiddo/H%26M/0705467003
