name,brand,gender,category,size,price,composition,color,url,img_url,article_no,blob_url
2-pack badshorts,H&M,boy,badbyxor,92-140,"99,00 kr.",Foder: Polyester 100%,Mörkblå/Mönstrad,https://www2.hm.com/sv_se/productpage.0688868001.html,"https://lp2.hm.com/hmgoepprod?set=source[/7b/59/7b59f7675b61e84fc82a8eb3e5841a81d09cac23.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0688868001,https://storage.googleapis.com/urbankiddo/H%26M/0688868001
2-pack badshorts,H&M,boy,badbyxor,92-140,"79,90 kr.",Foder: Polyester 100%,Klarröd/Mörkblå,https://www2.hm.com/sv_se/productpage.0688868003.html,"https://lp2.hm.com/hmgoepprod?set=source[/65/a2/65a231ee31af8a42d01d7805ec536a08d3d4fbe8.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0688868003,https://storage.googleapis.com/urbankiddo/H%26M/0688868003
2-pack badshorts,H&M,boy,badbyxor,92-140,"149,00 kr.",Foder: Polyester 100%,Neonorange/Randig,https://www2.hm.com/sv_se/productpage.0688868006.html,"https://lp2.hm.com/hmgoepprod?set=source[/6e/2c/6e2c412f6ef4405e45b0460cc8901f1b69843440.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0688868006,https://storage.googleapis.com/urbankiddo/H%26M/0688868006
Badbyxa,H&M,boy,badbyxor,92-140,"39,90 kr.",Foder: Polyamid 100%,Mörkblå/Grön,https://www2.hm.com/sv_se/productpage.0714083001.html,"https://lp2.hm.com/hmgoepprod?set=source[/69/eb/69ebcf59a831fceeaf96083e2d0e6259c33cc999.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0714083001,https://storage.googleapis.com/urbankiddo/H%26M/0714083001
Badbyxa,H&M,boy,badbyxor,92-140,"39,90 kr.","Polyester 85%, Elastan 15%",Röd/Mörkblå,https://www2.hm.com/sv_se/productpage.0714083003.html,"https://lp2.hm.com/hmgoepprod?set=source[/a2/53/a253274516f2e44b1205e7bffff0a4d7bcb8f2f1.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0714083003,https://storage.googleapis.com/urbankiddo/H%26M/0714083003
Badbyxa,H&M,boy,badbyxor,92-140,"29,90 kr.",Foder: Polyamid 100%,Mörkblå/Dinosaurier,https://www2.hm.com/sv_se/productpage.0714083005.html,"https://lp2.hm.com/hmgoepprod?set=source[/2d/ff/2dffa769923ec94f5bc7333721f68b177dfacaec.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0714083005,https://storage.googleapis.com/urbankiddo/H%26M/0714083005
Badbyxa,H&M,boy,badbyxor,92-140,"49,90 kr.",Foder: Polyamid 100%,Mintgrön/Blårandig,https://www2.hm.com/sv_se/productpage.0714083006.html,"https://lp2.hm.com/hmgoepprod?set=source[/f3/6d/f36d65fc08e46e62f671dcba5391c6598e7b5a33.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0714083006,https://storage.googleapis.com/urbankiddo/H%26M/0714083006
Badbyxa,H&M,boy,badbyxor,92-140,"39,90 kr.","Polyester 85%, Elastan 15%",Mörkblå/Vitrandig,https://www2.hm.com/sv_se/productpage.0714083007.html,"https://lp2.hm.com/hmgoepprod?set=source[/b0/7e/b07e083379d8c7a2085f78fac6d0ddf399896024.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0714083007,https://storage.googleapis.com/urbankiddo/H%26M/0714083007
Badshorts,H&M,boy,badbyxor,92-140,"49,90 kr.",Polyester 100%,Turkos,https://www2.hm.com/sv_se/productpage.0554011001.html,"https://lp2.hm.com/hmgoepprod?set=source[/de/1f/de1f665ba9c9f1a761fe3fbaa31c8ad33c170713.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[2]&call=url[file:/product/main]+",0554011001,https://storage.googleapis.com/urbankiddo/H%26M/0554011001
Badshorts,H&M,boy,badbyxor,92-140,"59,90 kr.",Foder: Polyester 100%,Klarröd,https://www2.hm.com/sv_se/productpage.0554011003.html,"https://lp2.hm.com/hmgoepprod?set=source[/ac/66/ac6644479eecc78616e8bc2d3085fd20731be1dc.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[2]&call=url[file:/product/main]+",0554011003,https://storage.googleapis.com/urbankiddo/H%26M/0554011003
Badshorts,H&M,boy,badbyxor,92-140,"39,90 kr.",Polyester 100%,Mörkblå,https://www2.hm.com/sv_se/productpage.0554011005.html,"https://lp2.hm.com/hmgoepprod?set=source[/31/72/3172002b84e0cc5275e1700aaed5139f0e62dcc6.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0554011005,https://storage.googleapis.com/urbankiddo/H%26M/0554011005
Badshorts,H&M,boy,badbyxor,92-140,"19,90 kr.",Polyester 100%,Neongul,https://www2.hm.com/sv_se/productpage.0554011006.html,"https://lp2.hm.com/hmgoepprod?set=source[/da/20/da203ce48e5a012c72b38a5ec192b89be0e0b80b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],hmver[2]&call=url[file:/product/main]+",0554011006,https://storage.googleapis.com/urbankiddo/H%26M/0554011006
Badshorts,H&M,boy,badbyxor,92-140,"29,90 kr.",Foder: Polyester 100%,Grön,https://www2.hm.com/sv_se/productpage.0554011011.html,"https://lp2.hm.com/hmgoepprod?set=source[/df/d9/dfd9cc6d7af74f54296c9558193842daefe4c3a9.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]+",0554011011,https://storage.googleapis.com/urbankiddo/H%26M/0554011011
Badshorts,H&M,boy,badbyxor,92-140,"29,90 kr.",Polyester 100%,Turkos,https://www2.hm.com/sv_se/productpage.0554011013.html,"https://lp2.hm.com/hmgoepprod?set=source[/94/86/948663599050d9719e87f6270e10c2cb2fada2d5.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],hmver[1]&call=url[file:/product/main]+",0554011013,https://storage.googleapis.com/urbankiddo/H%26M/0554011013
Badshorts,H&M,boy,badbyxor,92-140,"49,90 kr.",Foder: Polyester 100%,Turkos,https://www2.hm.com/sv_se/productpage.0554011017.html,"https://lp2.hm.com/hmgoepprod?set=source[/50/39/5039416158d2e11e20d428f0ce359b6caa8aa33a.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0554011017,https://storage.googleapis.com/urbankiddo/H%26M/0554011017
Badshorts,H&M,boy,badbyxor,92-140,"39,90 kr.",Polyester 100%,Röd,https://www2.hm.com/sv_se/productpage.0554011018.html,"https://lp2.hm.com/hmgoepprod?set=source[/ec/78/ec78bfb266fab8d55588ade5bde75e0439ec6c8b.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0554011018,https://storage.googleapis.com/urbankiddo/H%26M/0554011018
Badshorts,H&M,boy,badbyxor,92-140,"29,90 kr.",Polyester 100%,Mörkblå,https://www2.hm.com/sv_se/productpage.0554011019.html,"https://lp2.hm.com/hmgoepprod?set=source[/90/ec/90ec754442cc25fc0e4dd0abac69ee6186964178.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0554011019,https://storage.googleapis.com/urbankiddo/H%26M/0554011019
Badshorts,H&M,boy,badbyxor,92-140,"49,90 kr.",Polyester 100%,Neonorange,https://www2.hm.com/sv_se/productpage.0554011020.html,"https://lp2.hm.com/hmgoepprod?set=source[/f5/4b/f54bc6b0c2ef933b3f11bd114808a38381b3189f.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]+",0554011020,https://storage.googleapis.com/urbankiddo/H%26M/0554011020
Badshorts,H&M,boy,badbyxor,92-140,"49,90 kr.",Foder: Polyester 100%,Neongrön,https://www2.hm.com/sv_se/productpage.0554011024.html,"https://lp2.hm.com/hmgoepprod?set=source[/e0/32/e0325f708e966aa4f229407780e40b5e0180cb72.jpg],origin[dam],category[kids_boy8y_swimwear],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]+",0554011024,https://storage.googleapis.com/urbankiddo/H%26M/0554011024
